08B635B6	Structure From Motion
0B4E7F98	Information Exchange
0B090DB2	Covariance Matrix
0459E7F8	Discretization
07606283	Network Dynamics
06468957	Canonical Normal Form
028CCB84	Digital Image
08CEB3E7	Minification
0A357818	Schema
0C655874	K-means Clustering
048D36D0	Formal Concept Analysis
05B091C0	History
0C0A344E	Systems Engineering
03C7F3B1	Binary Code
05588093	Vector Space Model
01F58043	Discrete Event Dynamic System
01B47D7B	Iteration
09F61B6E	Automatic Control
074ACD19	Skewness
03D363DE	Rate-distortion Theory
0B25AE23	Component Object Model
0212E9C7	Active Queue Management
04964260	Process Modeling
0039807E	Spherical Harmonics
005A4BF0	Basis Function
042DF413	Free Probability
0463618A	Distance Transform
08F93E3E	Simd
1EEA6379	Social Media
00A391BF	Sequential Minimal Optimization
032DCB7C	Metaverse
09BF1455	Interference
024E2D6D	Petri Net
02E72525	Biological Classification
1E3E29E4	Sun Microsystems
01C282BD	Diffie-hellman Key Exchange
08DF0710	Government
017750CD	Global Information System
0831A79B	Local Area Network
07A370F7	Luby Transform Code
09290246	Core
04627FF6	Instruction Scheduling
01112BDF	Restricted Isometry Property
0910A69E	Haptic Technology
04301298	Robust Regression
02A1BC91	Mean Time Between Failures
0768BBEB	Abstraction
0C54BFE2	Automated Theorem Proving
09E72B3A	Poisson Process
02E7EA7B	Numerical Analysis
0B144453	Medial Axis
07BC50F7	Euclidean Geometry
01505D7B	Password Authentication Protocol
04341854	Open Shortest Path First
0B355956	Memory Bandwidth
046A2272	Radio Frequency
0B9C0B12	Herd
05C3C7C7	Poisson's Equation
00CEFE71	Spamdexing
08D9ADFD	Feature Selection
0632B9BD	Network Interface
08DBA68A	Pipeline
0B2CD1A1	Quantum Channel
070A8707	Anime
0861DE97	Stereophonic Sound
01F13E01	Data Deduplication
09445EC0	Solid
000A5B37	Labeling Theory
0BEDC0FE	Worst-case Execution Time
04EF55D5	Path Analysis
0A2BB115	Class of Service
0101E738	Addressing Mode
09BBAB7B	Noise Reduction
01B90173	Decision Theory
0828F5AD	Gabor Wavelet
04A8C0D6	Data Cube
051E9649	Capability Maturity Model
024297C4	Read-modify-write
055ACD18	Read-only Memory
09351821	Soft Error
09E6A1FA	Action Selection
02FD4136	Matched Filter
0BD3251F	Finite Impulse Response
0BA34D82	Demodulation
05DC080A	Search Theory
031683E8	Termination Factor
0A337B72	Automotive Engineering
0428362C	Image Fusion
0A95A818	Group Testing
074382B3	Statistical Physics
029F8C04	Source Routing
08C62759	Discrete Event Simulation
07A6A393	Symbol
20DD7F51	File Sharing
09C96AE4	Automatic Transmission
0204A00A	Computer Programming
03C2D397	Image Texture
09C74C45	Late Binding
02F77E4A	Multimedia
08C35CDA	Elevator
02D9AFC4	National Electrical Code
0C014760	Multithreading
0552B0F0	Link-state Routing Protocol
0401CB49	Robust Statistics
08D5D128	Datalog
095B930C	Channel
0A29897A	Cognitive Map
07245C42	Computer Aided Design
09F38B0F	Macro
09F68057	Software Transactional Memory
04340517	Dimensionality Reduction
0A4AFBC2	Cumulant
07DDD9A1	Point Cloud
015259B0	Microcode
0BABF586	Expressive Power
0B939AAA	Query By Example
01C78210	Critical Infrastructure
0098AAEE	Jensen-shannon Divergence
08866383	Gloss
083F2004	Division Algebra
0C4C8CAB	Root of Unity
094A0611	Graphical Model
0804D845	Industrial Design
1F3E364E	Aerospace Materials
0A87750E	Memory Management
0A461F34	Data Visualization
06D41840	Network Planning and Design
08A30745	Total Order
075C6041	Baum-welch Algorithm
09EA8EAA	Channel Code
01490678	Inductive Reasoning
0A52D7D4	Brain-computer Interface
07EFE437	Code Generation
012061BD	Blind Signature
03E21846	Quadratically Constrained Quadratic Program
03C8C972	Estimation
0A988BC4	Prior Probability
0C2B2C91	Inter-process Communication
078EB9BF	Topology
03E38E86	Control Theory
0B8D978B	Binary Image
09D606E2	Lossy Compression
0BD48665	Survey Data Collection
0922B6AA	Decidability
074478E3	Multiresolution Analysis
02724C38	Linear Programming
038F90C2	Scientific Visualization
0304C748	Artificial Neural Network
073947DC	Random Walk
0834EB99	Nonlinear Filter
06950FE3	Range Query
08140938	Key-agreement Protocol
0759D10D	Open Architecture
0346920E	Modulation
07D15138	Social Influence
0749D935	Kernel Method
0B0193BA	Attenuation
06345021	Deterministic Finite Automaton
067C2C4D	Steganography
00A9C35E	Calculus of Communicating Systems
094562D8	Optical Flow
08C49778	Superscalar
00B299A9	Unicast
09A5341D	Regression Testing
0A833485	Linear Space
067CE45C	Publish-subscribe Pattern
0BE64165	Engineering Drawing
04F6CF02	Supercomputer
05A00D17	Arithmetic
04F598F3	Single Antenna Interference Cancellation
012117A5	Graphics Hardware
09B85E04	Frequency
044A450E	Star Network
0BA46B7D	Natural Language
0BA076D3	Curvature
0370CB54	Pattern
029EF3EF	Logical Reasoning
0843CA5C	Telecommunications Link
00ECE0C7	Java Applet
0059F32E	Software Agent
035BCEA6	Mutual Exclusion
001873E2	Heavy-tailed Distribution
0742DD3C	Computer Security Model
0634A801	Motion
06611DDD	Stream Processing
082BCA90	Feret Database
04F4F92B	Security Management
01ED0391	Earliest Deadline First Scheduling
087533BF	Hausdorff Distance
0601AF60	Universal Product Code
017DB786	Temporal Logic
004D49C3	Frame Problem
04F5AC60	Predictive Analytics
02C8E962	Deep Web
0B4234C2	Robot Learning
0A131139	Reed-muller Code
013343B6	Interoperability
096000F8	Kalman Filter
081C8050	Overlay
089BD4BA	Interactivity
030DECD4	Planet
0360C081	Mixture Distribution
0712C72B	Quantile
06695C35	Dynamic Priority Scheduling
01EBF8D1	Classical Logic
05B0B530	Quantum Key Distribution
0A1FBB61	Overlay Network
0189A250	Compression Ratio
064B68A0	Proof Complexity
044EEB03	Architectural Pattern
03027B4F	Texture Synthesis
0814ADB4	Data Warehouse
07BC0930	Network Management
03D2BE73	Phase-change Memory
04B56F66	Information Needs
095D8C0B	Block Code
061E14B2	Smoothness
06B9B3FA	Coupling
070E5C78	Specular Reflection
0B93E3B4	Processing
0444B3F2	Contextual Design
0B116936	Minimum Cut
010D0C00	Digital Media
1EA11BEA	Digital Library
07DE0D30	Subgraph Isomorphism Problem
08A8AF7F	Partial Redundancy Elimination
0711EC40	Discrete Mathematics
00BCA1E4	Linear Subspace
084656E4	Data Processing
04FAD0EE	Regression
024F5A13	Strongly Connected Component
098ABBCF	Human Visual System Model
08CAA204	Rdf
067B4435	Factorization of Polynomials
08C0BE19	Ground Truth
09216B63	Sequence Diagram
00C1229B	Algebraic Number Field
08974DB8	Business
08908E4D	Percolation
0551C99B	Rule of Thumb
1F60C3F9	Processor Design
1E53AE69	Wi-fi
0110EDA0	Key Management
00DF7C87	Bellman Equation
0310CD4A	Independent Component Analysis
1F9A2DF7	Integrated Circuit
02985F4D	Paradigm Shift
03A7CAA6	Speech Processing
00564A32	Relational Database
03543AB8	String Kernel
0669D466	Microarchitecture
0A00C4B8	Finite-state Machine
025994F1	Optimal Estimation
0B4335B3	Aperture
0494D2A6	Coding Gain
01AC6CB7	Linear Logic
056CE163	Active Traffic Management
00C8B37F	Hybrid Monte Carlo
082C111E	Local Consistency
05E3F0CA	Signal-to-interference-plus-noise Ratio
1E782C26	Comprehension
03E87B9F	Internet Protocol Suite
0980D3A7	Gesture Recognition
087D5CA7	Time-frequency Analysis
072BDC64	Distributed Computing
06BAC77D	Hypervisor
0748AC84	Probability Theory
06838500	Singular Value
01DB9F57	Hierarchy
082FB936	Recursive Partitioning
0A590CEF	Parallel Computing
07A1BF86	Pseudorandom Binary Sequence
056890B7	Configuration Space
0B686EC0	Bias of An Estimator
09C35A89	Tree Structure
0536A2A7	Computer Experiment
00197524	Data Management
0B992CB0	Termination Analysis
00C01ECE	Replication
01A07E59	Enterprise Information System
0BF7EDEF	Fingerprint
094B50E0	Normal-form Game
04F133F5	Multiplication Operator
047AEE7D	Search Engine Indexing
05673F90	Minimum Mean Square Error
07D7D062	Cpu Time
08651A3C	Defeasible Reasoning
00946742	Modern Portfolio Theory
0454B3E9	Shot Noise
05D7EA02	Quadratic Assignment Problem
082E95CA	Detection Theory
048B09CE	Steiner Tree Problem
0771135F	Compressed Sensing
07359B8A	Gradient
070D600C	Point Distribution Model
0880274F	Color Image
0330B9E8	Resist
0710CBF1	In Situ Resource Utilization
09FFB95A	Symmetry
06EDE235	Formal Specification
01EC88FC	Quantifier Elimination
0BF7333F	System Monitoring
0040157D	Gaussian Noise
090B0CE0	Publishing
09D5C7ED	Chip
02CB7BDC	Nonlinear Regression
09359A3E	Structural Risk Minimization
0815B8A4	Multimodal Interaction
06EA2277	Translation Lookaside Buffer
008EBDE5	Operationalization
02028B74	K-d Tree
06E88D7C	Software Engineering
025BC721	Cross-site Scripting
0C5704E2	Mobile Station
04191B11	Delta-sigma Modulation
093A4A8E	Spinning
0C04CB8F	Complete Lattice
0002C926	Organizational Structure
0A0F4889	Satisfiability
02A9FECC	Searching The Conformational Space For Docking
04769FC7	Autoregressive-moving-average Model
086DAA9E	Adaboost
096E0E55	Heterogeneous Network
039F6427	Concept Drift
07130E14	Web Query Classification
01CB1B41	Hyperlink
0896BEFA	Service Discovery
034B300B	Spline
06FE0E82	Time Division Multiple Access
01B8BA02	Statistical Graphics
06E99C40	Circulant Matrix
0BE93940	Vector Quantization
0BE600FE	Constraint Satisfaction Problem
04DF876B	Tf-idf
01D58247	Volume Rendering
0AE9684E	Xml Database
004CE0F9	Core Network
01261DBA	Multiplexing
070E1C76	Atmospheric Model
0959DF15	Backtracking
03B912DB	Functional Verification
08605AC3	Spectral Radius
01CA728E	Blind Deconvolution
0164F8D8	Shortest-path Tree
0633D83A	Space Exploration
002EE408	Information Hiding
0558F468	Variance Decomposition of Forecast Errors
0A2B14CE	Very Long Instruction Word
0729B5DF	Euclidean Distance
014B4A6D	Conflict Resolution
02B62B3A	Unified Model
0927D268	Relationship Extraction
0357BD22	Duality
09ED0C76	Hamming Bound
0009930B	Harmonic Function
00344E97	Group Code
05B49CBC	Continuous Wavelet Transform
0145D2D3	Length Measurement
000FC8CB	Propulsion
006AFFE2	Microcosm
08386160	Possibility Theory
0694A9F3	Smart Card
007067C0	Dram
0B653CAF	Lattice
0A8F119A	Generalization
08E84D01	Probability Distribution
061A60E9	Sliding Window Protocol
048EC500	Continuation-passing Style
01AB58F8	Multi-task Learning
00BDD126	Database Theory
070F348F	Hybrid Automatic Repeat Request
001FFF58	Cyclic Code
0424E70B	Simple Network Management Protocol
06002EC3	Background Noise
0AFC28A7	Biometrics
0ADFEFEF	Radio Resource Management
00D09F90	Bag-of-words Model
015AE9BF	Botnet
075EDF0C	Architecture
09874E24	Linear Feedback Shift Register
046D46FD	Locality-sensitive Hashing
02DC6EAA	Database Search Engine
01EE8178	Best Response
07363952	Distance
038BB89C	Requirements Analysis
08EDECD4	Emulation
00E966AE	Speculative Multithreading
0A9D018E	Performance Engineering
040DF020	Bayes Estimator
07BC79E6	Language Identification
00D48189	Group Method of Data Handling
08C85324	Trusted Computing Base
00B0A94C	Square Root
09B97AB6	Time of Arrival
07A2A554	Lazy Evaluation
214C0E0E	Autonomic Computing
01516333	Internet Security
080FDBBF	Domain-specific Language
0A815585	Probably Approximately Correct Learning
011E4B98	Work
015A2453	Queueing Theory
01BADB89	Name Resolution
07EF23AB	Protocol Analysis
02F426E0	Stochastic Matrix
08AB5752	Convex Function
0B355A55	Atomicity
08396F67	Reusability
0123B9F3	Frequency Domain
01BB4220	Choke
0B4EE5A2	Self-information
09A459EA	Codec
0C4E74EA	Code Rate
0BBFF393	Merge
032F772C	Content-addressable Memory
0339A25E	Packet Loss
06938ADB	Genetic Programming
09AB37EA	Hypertext
048FA2ED	Multipath Routing
0BAA2C4F	Partial Evaluation
0C3DE65D	Spine
0787299E	Reduced Instruction Set Computing
045142CC	State Space
090FFFDF	Distributed File System
0AB2434F	Ethnography
0C20E0D5	Data System
03BBE236	Variance Reduction
097B89DE	Type of Service
0B35E9D0	Complementation
07AB559A	Randomized Algorithm
0C30D4C8	Disassembler
0611EA2F	Planar Graph
01505476	Geolocation
08D88A51	Group Signature
034D48D4	Process Design
07033D1A	Data
0BCDE5B6	Metric Space
02638A73	Semi-structured Data
0962CC08	Maximum Flow Problem
0B8A4888	Active Vision
08F7B39A	Sql Injection
091AB76F	Fault Detection and Isolation
0B01ACE5	Fair Division
02E8D982	Discretionary Access Control
0166072C	Spectral Method
025D8F27	Boolean Algebra
0ADE3B2D	Cable Modem
07D45A45	Telecom Infrastructure Sharing
04E651E7	Mobile Ip
03DDAEE4	Logic Simulation
08B49EF3	Software Design Pattern
030F4753	Shared Resource
04B551D8	Niche Differentiation
07651B33	Sparse Approximation
0B721F10	Query Language
070DE1D6	Terrain Rendering
05E5E32F	Stationary Distribution
056A2510	Sampling
0A4B5C4C	Computer Worm
0001C739	Service Provider
0A0AD5C2	Lattice Problem
035D8A74	Eye Tracking
014A80A5	Service-oriented Modeling
03A48842	Path Expression
0851B1C1	Program Optimization
09CEE641	Application Server
0800AA6A	Statistical Inference
05D64F7B	Discriminative Model
0090E62D	Experience Design
0B029CAD	Topology
02EEE1B4	Invariant
02DC21A2	Test Data Generation
1F8A272D	News Media
0A71D3D2	Optical Transfer Function
06FD1CE4	Parametric Statistics
03817B4F	Bandwidth-delay Product
07A47BCF	Queue Management System
049CE424	Application-specific Integrated Circuit
07913758	Disk Operating System
067B8BAD	Authorization
0048E6C0	Linear Temporal Logic
0408E8AD	Low-density Parity-check Code
0182BBC1	Virtual Machine
01861F03	Software Analysis Pattern
0A697672	Component-based Software Engineering
0987AB44	Markov Process
00D48D5B	Random Function
08083CC0	Heap
0336D9AC	Spin
0AB486B3	Modeling Language
0A716E5E	One-dimensional Space
08585656	Dynamic Program Analysis
0672609E	Foreground-background
054623FC	Modular Programming
0B4BAAAB	Density Estimation
097E06B5	Lexicographical Order
0046D1ED	Face Detection
08757C8A	Cache Coherence
01506BBC	Clustering Coefficient
00FFB224	Poisson Point Process
08C428F6	Annihilator
05E65163	Latency
0404433B	Hash Table
0B668267	Honeypot
03E64325	Transmitter Power Output
0B7C3AC8	Firewall
0B21E52E	Monopulse Radar
094410C0	Feature Detection
0576F7F2	Multidimensional Scaling
0997757E	Synthetic Data
0825030D	Reachability
09287742	Cellular Network
00768D90	Fiber Distributed Data Interface
03DCCCF6	Occam's Razor
0C1029EE	Distance-vector Routing Protocol
0329D569	Object-oriented Design
099B0DD0	Document Retrieval
0A6B60E7	Ip Forwarding
0572A695	Commitment Scheme
0415CAB0	Stereopsis
043E4DB3	User Agent
08156FE8	Pitch Detection Algorithm
02E89B27	Reputation
0238D833	Consistency Model
02F760CD	Linear Map
08D16E11	Camera Phone
05BB12AE	Unification
081D3F03	Graph
0C118248	Video Tracking
064F05D5	Visual Communication
02C4F5F7	Error Floor
001B5F56	Out-of-order Execution
03758423	Point of Sale
07BAA2AA	Introspection
020F5884	Steady State
04C96ED8	Business Process Management
09D6B088	Matching
0268CF76	Selection Bias
0658C464	Monte Carlo Localization
01705493	Instance-based Learning
07BA2A2B	Active Shape Model
0ACAA614	Branch Point
06B6A4FE	White Noise
070833B2	Extractor
0ACC0DB2	Mesh Generation
055F1B9B	Polynomial
0265C078	Geometric Mean
00A06582	Data Security
059E30F3	Spectrum Auction
00BB2E8D	Support Vector Machine
08DD7235	Encryption
0610D037	Communications System
09EFB3F1	Image Registration
075AFCA8	Visibility
04E67DCD	Software Metric
0667127B	Human Multitasking
0ABD756B	Exponential Decay
0944F57B	Shape Analysis
08EE6D53	Failure Analysis
0AD641DC	Internationalization and Localization
068FCAE4	Phase Detector
09A88BE1	Bootstrap Aggregating
06337AC8	Multilateration
060A470E	Optical Switch
0075CE16	Transceiver
090D73E1	Nonlinear Dimensionality Reduction
028F44CD	Shift-invariant System
0801842D	Application Software
08CD3614	Pattern Language
0A9B50F2	Non-volatile Memory
0B60A536	Lisp
061935A8	Formal System
0B521A9C	Cas Latency
0BF64BCD	Obfuscation
044F1B12	Temperature Measurement
0B961FB4	Stochastic Optimization
02D49909	Data Access
00F8733A	Digital Photography
0B4B27AD	Model Building
06416787	Hoare Logic
03D01A5E	Internet Traffic
052EA07C	Minimisation
0118B53A	Secure Multi-party Computation
0B7C5475	Openflow
0481C560	Signal-to-interference Ratio
093EC55A	Randomized Experiment
0AF5FD80	Sphere Packing
05E5EE11	Lexical Semantics
050D9AB2	Formal Semantics
0497BAAC	Constant False Alarm Rate
05E6DE12	Query Expansion
086C8DF9	Speculative Execution
05DF6545	Sub-band Coding
0984BFF1	Iterative Method
0B74E2DA	Focus
058E840E	Moderation
04A72F4F	Reed-solomon Error Correction
06A1B9DD	Inspection
06C7118E	Coding Theory
0C525113	Tit For Tat
00B60CED	Frequency Modulation
0BA80FE2	Network Congestion
016A0674	Maintenance Engineering
05957ACC	Static Timing Analysis
03098092	Paging
076954BF	Critical Section
0B8797DD	Connected Component
0A16039D	Dirichlet Distribution
0AC2D102	Computer-aided Manufacturing
09C66493	Frequency-shift Keying
075A7D07	Filter
00390FDD	Distributed Computing Environment
027F03D7	Session Initiation Protocol
01A2ACFC	Principal Component Analysis
1F220F24	Identity Theft
04198571	Multi-objective Optimization
03DAD020	Directional Antenna
007416C2	Cryptographic Hash Function
05CB5788	Context-free Grammar
04093723	User Modeling
006FF6B5	Stripping
098F8FB9	Queue
0971DE8E	Multidimensional Systems
0528430D	Hamiltonian Path
0BE20181	Programming Language
051BF262	Simultaneous Multithreading
0879F658	Record Linkage
005899C1	Orthonormal Basis
093635B5	Expander Graph
0B458696	Attack
08D56A9B	Optical Computing
0757D77D	Multi-armed Bandit
0B1AE4E8	Indexation
06700818	Facility Location Problem
05BECF8C	White Spaces
07C17D18	Distributed Algorithm
0B1A1B3D	Integrated Circuit Packaging
0ABD9D9D	Information System
08F2F769	Point of Interest
0B37AD09	Limiting
0911786B	Mutual Information
0843FBAD	Tracing
0A8793AB	Salience
01B1A9E9	Timing Attack
0AF3E64D	Contract Net Protocol
02E46F76	Store and Forward
01743C2E	Relational Database Management System
01D23D53	Generation Time
08FE7EEB	Cycle Time Variation
06470809	Monad
07912795	Fault Coverage
05F84B34	Dynamic Web Page
07F4E1FC	Pointing Device
00FFB1BE	Power Function
0271BC14	Computer Science
06238D44	Description Logic
0810D58B	Local Search
0B268CD5	Sequential Logic
0189D6E8	Ontology
09515783	Operational Semantics
05C93E7B	Markov Chain Mixing Time
0BBCC83D	Online Algorithm
0432D821	Replication
0305CF32	Software Fault Tolerance
0BCD5D6D	Computation Tree Logic
091AD1B7	Code Refactoring
0AFF636D	Clustering High-dimensional Data
0B274714	Computer Performance
067D6BFA	Uniform Distribution
