7B1B8E6E	Jonathan J Cadiz
155E85E3	Laura Granka
85F87E79	Soumen Chakrabarti
7ABF3629	Thomas Hofmann
00219748	Gilad Bracha
814AB8CF	Anna Bosch
80A48D8A	William Y Chen
85B335E6	Tiancheng Li
753A1567	Natasha Gude
7EDCB657	Mirek Riedewald
7F4E5085	Weihua Zhuang
0EBE528E	Christian Bizer
84790285	Jeremy Osterhouse
80444D6B	Terence Tao
767404A7	Kristin Lauter
456041B7	Amos Lapidoth
84FBCEA6	Hansjorg Schek
806720F5	Vincent D Park
7D2DD765	Martin Heusse
6C74E4B6	Scott Karlin
125A519E	Willy Zwaenepoel
283C4F30	Kori Inkpen
85C47AEA	W A Arbaush
7E79DCD2	Andy Tsai
0166D7AF	Willi Klosgen
7D33F464	Yichen Xie
7AD66F79	John A Tomlin
7DEDFE29	Aurobindo M Sundaram
05827E54	Shai Shalevshwartz
791FBAB6	Gosta H Granlund
7E89EF73	Daniel M Lavery
7E5A90CF	S Ten Brink
7D7331F3	N De Freitas
845AED7B	P A R Glynn
7D4AB1A6	Carl Hewitt
80C6DE2A	Reynold Xin
857BCA7E	J Max
11DBCE42	Jan Puzicha
7AD505E9	Patrice Godefroid
7517681E	Marco Conti
0F20EA20	Tomas Isdal
77116102	Partha Niyogi
83810BA6	Hideyuki Tokuda
7F8090AF	Anders Krogh
764C8B24	Christos H Papadimitriou
7608C635	Samuel P Uselton
8134F55C	Kevin Murphy
84FC50AD	Geoff Wernerallen
6BCEFF2B	Ion Androutsopoulos
83A50E1C	Michelangelo Diligenti
85FDD55E	Jonathan Robie
84B44B52	Jasson D M Rennie
10AD35ED	Nachum Shacham
2A69556A	A Prasad Sistla
24FFA165	Gregory D Abowd
77497F88	David Molnar
7F5A6370	John L Ramsey
5C9B971E	A R Calderbank
7E5E30B7	Neal Davis
816FC42C	H Arno Jacobsen
7D6CA609	Nathan Silberman
485CDFFD	Doug Kimelman
7DD63BDD	Jiang Chen
7DF1D45A	Wei Fan
809E07DA	Swarup Acharya
83CB1BE6	Eugene Visotsky
7D4338D5	S Hong
83504574	Anand Rangarajan
809199BA	Zhihua Zhou
51D985F7	Nick Feamster
7E6FADC8	Adam Stubblefield
305334AA	C K Wong
8546DE48	Isaac Keslassy
138C5CAF	Daniel Pilaud
7FB52E9E	Miriam Fernandez
777DAF08	Eman Anwar
812D3BEA	Fei Dai
7E023951	Toby Sharp
0F8AF90B	Mihaela Cardei
775E2C5D	S Ramamurthy
7A1F3519	Neil Sarnak
7E8D5CE6	Gilberto Contreras
7FCE68ED	Perry Cheng
7EA97FA2	James Srinivasan
7D13C3EC	Arturo Crespo
787FCADC	David Heckerman
80E735C7	Zainul Abbasi
752FAD1C	Ashoka Savasere
85B027A4	J K Lenstra
7DC9031C	Roberto Di Pietro
7DC55B54	Yunbo Cao
7F5AD428	Ming Zhang
7C8AA34D	Peter A Dinda
0F26F4F8	Martin Azizyan
0F2F6EA1	Trevor Hastie
809927E1	Peter Fischer
778CAE38	Fabrizio Pollara
8052ECFD	Pawan Goyal
800F2069	Yunyue Zhu
75EA304A	William J Mckenna
0E53C820	Alan E Kulawik
7D086C2D	Amir Saffari
761E9608	Gottfried Ungerboeck
7D543FF1	Yutao Zhong
775F6EA2	Amol Deshpande
85754044	Koby Crammer
801AE3A9	Kuanta Chen
847A4374	S Ben Fred
0B90C1E8	Victor Firoiu
7E8A7F3B	David Padua
781AC471	Karin Kipper
6B8AB441	Benjamin Ransford
7F562063	Kaleem Siddiqi
776CC29D	Pradeep Kumar Gunda
8041ED3F	Guangyu Sun
09CD80BE	Ken W Shirriff
84996D2A	D N Jayasimha
03DC2BE3	Peter F Patelschneider
84FB1B69	Constantin Courcoubetis
7624B3DB	Krishna P Gummadi
75CF166E	L J Osterwell
839073BB	Manuel Costa
C4FB87AD	Feng Xiao
7FC1FA57	Ajit Singh
7DCE3A2E	Dean Allemang
806CCE55	David Cock
7E55B375	Predrag Spasojevic
7A1DBC2D	Matthias Schunter
83736823	Jian Yang
7651D7D1	Monika Henzinger
7E89AD73	H Fuchs
82DA8F18	A Sankar
758B8AB7	Jeanne Ferrante
7AEF79A0	Mircea R Stan
7F402939	Wenjun Hu
7D525A4E	Reinaldo A Valenzuela
80F461D0	Dan Klein
8013E51C	Christopher M P Russell
7D1F2AD5	Randy Kerber
718E3D2F	John S Wilkes
7DE416D8	S Y R Li
58D5831C	Yossef Steinberg
7E81208F	Gang Wu
7A92F1D8	Larry F Hodges
8360ABA7	Tian Bu
85B06C1D	Juliana Freire
7DD265E0	Hyungjeong Yang
8297D439	C S Lee
0E8C2418	Sudhanva Gurumurthi
7EEA7C4B	David I Mclean
7DF81490	Jaehong Kim
7F38E4C4	Christian R Shelton
854E91CA	Raymond To
754DEEC0	Marvin Minsky
786F5433	Evan Torrie
7E6184C4	Ratnesh Sharma
850C4A4C	Christopher D Murray
806FA1FA	David A Wood
76032881	Dominik Endres
3F2978AF	Susumu Horiguchi
8327579D	Eliza Bertino
7EE0B731	Marc Friedman
03EFEAEB	Tobias J Oechtering
7C967832	Constantinos Daskalakis
7A247C3B	G D Forney
80433E7F	Yidong Yuan
782C7C4D	Pedro Domingos
7AF237FD	Ayfer Ozgur
8151A612	Ricardo Bianchini
04F7E0B6	Daniele Micciancio
65ED198E	Daniel Von Dincklage
7AD55B4F	Craig Boutilier
798E5B58	Barbara Poblete
773861DC	Cristian Estan
1E7D4719	Brian Curless
7E02F7FE	John H Hartman
7D30EA44	Gail C Murphy
7C0A1B47	Xinming Ou
11563008	Dinakar Dhurjati
284A8718	Kokichi Futatsugi
80083811	Chojui Hsieh
216E60E4	Daniel S Weld
770496B2	Michael Pazzani
7F2F9589	Michael Kass
7BE48D58	Jayant Madhavan
7EBBD0FC	Mark A Hall
7FFE2590	W Van Der Aalst
804E2931	Barry K Rosen
8176481D	Luis Sanchez
7E8E5117	Elliot S Schwartz
809CF99A	Shmuel Winograd
810ABDD7	Georg Klein
8484EEF0	Alexander Loukissas
854796BE	Artur Klauser
708F253E	Steven A Tretter
7871DB74	Dallan Quass
75285C45	David Gay
810D31C6	Maik Lindner
84A8752B	Jacques Patarin
7F59E8A2	Wee Siong Ng
285F7C76	Robert Gaizauskas
1222F21C	Edward H Shortliffe
7F925FA3	Ernest Davis
806B5A34	Steven Shafer
80EA8225	Jonathan W Greene
79B57D6F	David Ungar
7FB8889A	H T Kung
7F060F97	J C Coburn
7F734F2A	Jens Groth
7E9E4B9F	Peter D Karp
75A6EF5A	Aleksandar Kavcic
822602D8	Steve Hanks
7DCED0FB	Michael K Ng
848C24AC	Carl Staelin
863332F5	Daniel Frampton
7BCD182E	Trishul M Chilimbi
02FF1E3F	William G J Halfond
7AD887E2	Thomas Finley
7FFD258B	Richard Simon
81220118	Devavrat Shah
7E5A6670	Toru Ishida
808C6019	Glen G Langdon
7B2B33B0	Abderrazak Ghedamsi
82DDE50E	Stan Matwin
7E8E739F	Andrew Witkin
75125041	Grigorios Magklis
8082933F	Fredrik Espinoza
769CDF59	Thomas M Conte
0747F9D7	Laurent Amsaleg
7F3F0572	Nigel Davies
7EF31BBE	Guihai Chen
EE0ACF23	Ting Liu
84880E82	Honggo Wijaya
771446D1	Harry Halpin
04108C9E	Brian Falkenhainer
863C878E	James R Goodman
6C330BCA	Abraham Lempel
7F9359C6	Adam Greenfield
7E0D16C7	Paul A Feldman
84E2C2B2	Katarzyna Smaga
7A672BBB	Konrad Stocker
78DF9C8B	Abdolhossein Esfahanian
86342CB7	Kamal Nigam
7742FE5C	Carl H Hauser
78ACE8FB	Sotiris Ioannidis
7D60DFC8	Tianhao Zhang
83A35E4A	Yael Weiss
7DF7A9E2	Michael P Williamson
751DF258	Al Borchers
57316078	Tom Duff
795308E3	Praveen Kumar Gopala
7EA65F22	Badrul M Sarwar
775484B4	Lena Gorelick
77AB7A88	Edward Snelson
7D721EDC	Andrew Martin Robert Ward
826AE713	Thomas Y C Woo
810532C5	Jaideep Vaidya
7E7AA290	Jonathan Wilkenfeld
8634C42C	Peter J Denning
7647C5CB	Karen E Lochbaum
858D22AE	V Jaconson
827AB79C	Arvind Narayanan
29AD6DCB	Olgica Milenkovic
7E95BFF4	Akhilesh Singhania
7BB71F65	Azin Ashkan
004C820F	Jens Palsberg
82FF8CC8	Kjeld Schmidt
7FC21B79	B Thomas Adler
7DA30864	Ke Wang
7F89EABD	Michael Bedford Taylor
822C6C9E	Justin Ma
8070463C	J R Smith
7AE1AA29	Robert Wahbe
816AE889	Kjeld Schmidt
7A340058	Kavita Bala
81B234AE	A V Santhanam
2267E031	Stavros Toumpis
70FCAE9F	Seth Hollar
7DDE00DB	Reed Little
11A48CD7	Mary Ellen Zurko
2B245056	James F Blinn
7D346F68	Ronald Rosenfeld
7B5B5847	Ramakrishnan Srikant
86375F42	Noam Slonim Naftali
7621314A	Stelios Paparizos
8293E080	Fabrizio Petrini
0109EB11	Bernard Fortz
77EBC8BE	N E Nahi
5862730E	William H Kautz
75F0321B	J M Tenenbaum
755B6BCE	Robert Ingria
0426113E	Fabian M Suchanek
7DB0B573	Mart N Abadi
7EC79BF8	Simon Parsons
7D4B9B8D	Cory Reina
7E7AAB2F	Yukun Chen
7D44AF94	Daniel Koller
808592E2	Harpreet Singh Sawhney
8117967F	Vincent Chu
858B3000	R Shea
81626EE3	Sven Apel
81A400A8	Daniel H Greene
7D10D953	Yoshinobu Sato
7E7CE320	Larry Rudolph
81256C2A	Keith W Ross
7EFC48EC	Darrell Whitley
7ED5A373	James E Pitkow
847215B6	Jun Wang
7F37BEEC	Roman Slowinski
85950756	Claude E Shannon
77CB4563	Ted Briscoe
808BA2D9	Qiongmao Shen
1329F41D	Kevin C Almeroth
7D22D8AF	Yu Xu
862CE5DF	Dekang Lin
75D3D868	Helmut Veith
785306D8	Gurmeet Singh Manku
27DE42FD	Venkat Anantharam
11A45E41	Joseph A Paradiso
8113A4CF	Alfred Menezes
753FCE70	Marco Pennacchiotti
85ACE5E9	Allan Edward Snavely
7DAA8A38	Wade Shen
7E1FE38C	Paul S Rosenbloom
7D8179AD	Qiming Chen
7748795F	Mats P E Heimdahl
81765183	Robert A Morris
7A66274C	Thomas Dean
7EAEC6F9	John C Mitchell
862D6FE8	Dan E Willard
816D1B27	Mark Miller
829CEEFD	J M Chow
827867A8	A Gomezperez
7E59B456	Natalia Ivanova
7D561204	L Van Doorn
70C0F501	Amy L Lansky
07C6C8C9	Amnon Shashua
7DB905CB	Yiran Chen
7DAD9B24	V Buch
47E7FFC9	C L Liu
7E79CCBB	D C Lin
7A7754D7	Keith E Mathias
7F60A74C	Xiaowei Yang
843ECAEF	Peter Vosshall
03697A77	Thomas M Cover
82691D27	Veda C Storey
809161C3	Kirk L Johnson
863033DB	Eric Lehman
4B97FC7C	Dalit Naor
714109B5	Adam H Leventhal
7FEC0172	Steven Fortune
84820D77	Xuejia Lai
7E2A06E7	Vijay S Iyengar
80BD016B	Wenliang Du
7E402C1A	Colin Dixon
8122990F	R B Gold
84BB18E9	Gary L Mcalpine
7FCF56A7	K Ramachandran
80C0A712	Jim Chow
7F977A57	Robert L Mercer
777B116D	Richard A Harshman
7B3C8643	David Yarowsky
78A2FDBD	Fionn Murtagh
7D3F6F4F	Mohamed Ben
7E65FD23	Terence Kelly
2BCF289A	Hans P Morevec
784674DD	Sameh Elnikety
197FCF8C	David Harel
7D43AD06	James P Rice
8627E690	Landon P Cox
85C3CE2E	Adiseshu Hari
7E7A984F	Gerwin Klein
794BEA47	Paris C Kanellakis
79624137	Adrienne Porter Felt
1215B2C6	Prabhakar Kudva
78829136	Andrew I R Maas
7F427C50	Sudipto Guha
7E5D8F62	David Moore
80D33B6F	Mo Yu
7F55BAEF	Ali Rahimi
240DF14F	Christopher G Atkeson
0DC8C6AD	Michael Hirohama
7F046EF7	Yunhao Liu
2B5530C2	Mordecai J Golin
05E9CEDA	Florent Monay
1025B2BF	Farinaz Koushanfar
0A45DBD9	Ellen Riloff
7659B07B	Josh Cohen Benaloh
7689449D	Peterpike Sloan
77F6A8DD	Robert J Ragno
815AB797	Daniel J Abadi
8622E1ED	Nicolas Bruno
7EB6F1B1	Li Shang
7E922703	Jeffrey S Sorensen
84C2C945	Fatima Algarawi
063DA3D3	Per Runeson
811D795C	Mark J Clement
7B9A18C3	David Gochfeld
859BB925	Brian L Hughes
7F50D809	Qinfen Zheng
18E77335	Virgil D Gligor
80DAD05B	Noam Shental
80D7B75F	Joe Warren
7F83ED25	Susanne Graf
7E1D8774	C D Thompson
7ED96DEB	W E Morgan
0D7777C7	Volker Stemann
7E66D30F	Joel Sommers
7F4EB86D	K Chrysanthis
85B66340	Akihiro Nakao
75D556E2	Moray Mclaren
7F7B0A59	Christopher P Firth
7FA86F9E	Pushmeet Kohli
82639A7C	Matt Schultz
10905C73	Bernhard E Boser
6B9843E5	Keki B Irani
7F915A33	Satanjeev Banerjee
327F140F	Diego Klabjan
76D115CF	Jeanna M Neefe
7D54C701	Dejin Zhao
7FD27B46	Xiangyang Lan
766665B3	John Riedl
7F1EFAFA	Siegfried Nijssen
7D640282	Michael Norrish
80B763DD	D P Chapman
0A3DE947	Tomasz Malisiewicz
7FC17F4D	Chris Wilkerson
84C6F555	Dino Dai Zovi
7FC6A25D	Mung Chiang
804679A2	Praveen Krishnamurthy
8389CE40	D Tsiang
7E88F2DE	Jeremy Lilley
739CF1AF	Gert Smolka
7DC0FFFD	Bryan Hopkins
7DD96009	Van Gelder
856276AE	Eric Brill
7ED7B6CC	Sholom M Weiss
7D977087	Chengdu Huang
814A8249	Dan Lin
848E60B7	Michael T Orchard
7CA60200	David Chiang
77221471	Jennifer Rexford
7F03EBC7	Bharat Prabhakar
85171F0A	Peter Dadam
8634B94B	V T Rajan
78781F39	Natalya F Noy
83848A2C	Amol Deshpande
7655DEBE	Ben Fei
80FD776A	Sanjay Pant
760725EA	Frank R Kschischang
7F295D9E	Yejin Choi
8003D90F	Naonori Ueda
7CAA2A29	Boris Grot
10839015	Enrique H Ruspini
804D6661	David Cohn
0DFC88F5	Edward W Felten
7D637A77	Brian D Marsh
7E24EC84	Tao Li
82B07885	Miguel Castro
7A2CEB29	Cormac Herley
48E2522D	Andreas L Prodromidis
147A0693	Martin Rinard
7DF74D76	Judson Santos Santiago
7FD584C5	Heng Zeng
803409F7	David B Shmoys
7CA1A7B2	Ronen Basri
81192988	Philip Mackenzie
7FF7D2B9	Yuri Rabinovich
0BAE58B5	Nathalie Japkowicz
82D93800	Yuhshyan Chen
7F4A0D1F	Sunil Arya
7D6A2A88	David M Green
0FF8407C	Marco Pistore
8500525F	Sanjay Rao
7F34F307	Laszlo Lovasz
850F4878	J Hennesey
85D85CC0	Guillermo Ricardo Simari
75CB4B1C	Thomas Sewell
7FDCB930	Jennifer C Lai
7AFB7EB3	M R Garey
7DC4D2E4	Chen Ding
81AF3A2B	Daniel R Simon
84FD8EE3	Jeffrey Boase
8091362F	Zhe Cao
7CEC6DC7	Abhijit Bose
81DD8F9F	Thomas K Landauer
809E5A75	Martim Carbone
7F74558D	Stephanie Forrest
7F3F32EB	Judith Stafford
7D66205B	Shanghua Teng
82536A7C	Bo Wang
8285D54A	S B Lal
7CF327E6	Urang Nayak
7B3378D4	David Poole
850CA3D9	Paul Chow
7FB64E0D	Amir Roth
7D922E14	Matthias Seeger
7E69BD46	Daniel Jackson
859AE47C	M F Kaashoek
2F5D89E6	Michael Szydlo
7A1E060A	Lenore D Zuck
28561CC1	Erik Agrell
823C8E0F	Sudipto Guha
7E38E131	Roberto Cipolla
06662305	Taher H Haveliwala
8032C8D9	Hongwei Xi
7F449570	Kun Tan
7DCD23BC	M J Muller
86306D89	Olivier Bousquet
7A023B03	Borkur Sigurbjornsson
038813DD	Engin Kirda
18D7056C	Michael Elad
857617F5	Marlon Dumas
7CD8FC30	Ian Hayes
58572EA8	Rafail Ostrovsky
7E1A4D4F	Samar Singh
17F37D50	Maarten De Rijke
76028BC6	David C Chu
7F82C0A2	Selmer M Johnson
8567A8B7	Mani B Srivastava
0EF0C68C	William J Bolosky
7EF8CAEC	Austin Donnelly
848DB6A6	Ethan Rublee
7EDC6FF0	Michael J E Sternberg
80872CE3	Michael Wurst
7FEE6C87	J H Conway
796A399C	Allison Lewko
2824A251	Prachi N Thakar
781215E7	Dan Dipasquo
0E811613	Ali Khoshgozaran
7E9C5304	Amy L Murphy
7F7AB20E	Leonid A Levin
82C37D47	Oliver Spatscheck
85B3965E	Xiuzhen Cheng
7D7A338E	R Reed Taylor
06CC3C94	Frank Pfenning
7AB957E5	Todd E Hunter
8297D301	Subhash Suri
7E028244	V De Silva
7FF986D1	Song Chong
290E4909	Vugranam C Sreedhar
802979C1	Steve Bennett
7E6CF333	Wen Gao
1083FAE7	Kyburg
01C84A39	Peter Szolovits
124FD226	Sebastian Uchitel
84E99481	Caputo
7DC0B9B4	Yuliang Wu
5D92C527	Alireza Adltabatabai
7F26F553	K K Ramakrishnan
02840405	Jay K Strosnider
8021448F	Diklun Lee
138CFD6A	Jean Walrand
7D0D9841	Phil Pfeiffer
03E2FF6E	Patrice Abry
80F07632	B K Jenkins
7EF517A4	Xiaodong Lin
813AF7DF	J C Belfiore
14569432	Frans M J Willems
7D0B75E3	Qi He
84913998	Prainod K Varshney
284F3D47	R James Firby
7E65B2EA	Amit Aggarwal
8621721C	Ada Waichee Fu
80F003F5	Bill Chiu
77D657D1	Victor S Sheng
816A22EC	Stephen N Freund
7FFA2894	Michael N Nelson
3B187E9F	Gang Chen
76B299C0	Joseph M Kahn
7AA98137	Laurie Hendren
82CBAC00	Mark Burstein
7D94F2C9	Enrico Motta
78E9F525	Marc Gyssens
0C220288	Israel Bardavid
16D2AABD	W P Kegelmeyer
7ECB42F0	Deborah Estrin
11155C82	Peter W Kopke
8162D661	James R Davis
0C97614F	Aris L Moustakas
80C0FE4A	Jianfei Zhu
7D5C1552	Kevin S Beyer
75BE13B1	Robert E Kraut
7F69C69C	Rodney M Goodman
7B7D14D0	Michael O Rabin
7D0273BB	Rex Min
6C7E4FF0	Ronald Ritchey
7D44847C	Jorge F Garza
7D617372	Shuji Hirakawa
7B877790	D Christopher Dryer
73E69747	Adam Silberstein
6FE8CF9A	Shumeet Baluja
01383D7E	Natasha Devroye
057F50B8	Arnold W M Smeulders
154172D7	Ido Dagan
807E109A	Gordon Brebner
75405165	Liuba Shrira
0299BBC6	Eugene R Rodemich
84C052F1	Larry Clay
84E19B52	Rebecca E Grinter
80B50CA6	B Y Liu
0AEC6FE2	David Mcallester
7C844E63	Romain Thibaux
8106523F	Jongwoo Lim
812FF69E	Daphne Koller
811F7C36	Michael Hamilton
805B2AD9	Luigi Di Caro
5F653421	Jim Kurose
856A8A20	Jayavel Shanmugasundaram
77DBCC33	Chris F Kemerer
7D27AE45	Jeff Yan
7B4806D8	David J Powell
7F1D439C	R Sekar
7E91B8FB	Dongmei Wang
4C885FDC	Evangelos S Eleftheriou
57B7DC9C	Elena Dasseni
81A3249F	I M Oliver
7FEF15C3	Chiyan Chen
7F312CE8	Daniel Romero
7A7430DC	Daniel T Schuh
86227F01	Alexander Vasilevskiy
7E48403C	Endre Boros
7554A5BA	Jaime Teevan
8060BA92	Patrick Pantel
7567BCCA	Christina Warrender
7FABBEB2	Doug Burger
067DC9AF	Bruno Dutertre
7D264A30	Alexandra Birch
6594064C	Mike Grimmer
7D4132B9	James Leong
7E43F5FD	C K Chow
7F83C1CE	Robert B Allen
7435B7E5	Oren Zamir
7B52FE95	Salim Roukos
790FB24A	Candace Kamm
1174C58E	Mittal
7E9EB2EB	Hugh C Davis
7D5C6E8C	Frans Coetzee
75895526	Matthew Mathis
7D12C778	Pete Wyckoff
8296300E	John Anvik
7D0E921A	Aran Safir
861069F8	Zhao Zhang
023BEF3E	Enrico Giunchiglia
7F2B7325	Mayank Jain
2BDFAD0D	Allen K L Miu
75F06B12	Elena Baralis
7FEF04FB	Zohar Manna
7F8038BA	Michael I Jordan
84CAB0FB	Miguel Ferreira
1395B286	Loren Terveen
776B46BA	Mitch Cherniack
14E6A8F5	Mihai Christodorescu
7B0E6ACA	Bill Flinn
7E7B8C09	Brian J Matt
7FDD79A7	Yantai Shu
7C92704C	Aleksandar Jovicic
11454D61	Lada A Adamic
7F801EF4	Yan Ke
77418C55	Thomas Serre
7D405383	Sajal K Das
7DDAE9F4	Amr Sabry
8148D5A7	Mark A Musen
0511558F	Daniel Vanderpooten
75F09B8D	Kevin J Dunlap
79CEA596	Robert Osada
78627C32	Eric Wiewiora
2AC1946E	Jovisa Zunic
82C8A989	Judea Pearl
0327C81D	Bernhard Schokopf
7B40AAC5	Juan F Ramil
8043052A	Kewal K Saluja
7D88234C	Dinghao Wu
5D1A84C1	Christoph Von Praun
7A037291	Laura Marie Feeney
786D6EF2	Andrew Layman
7D4B74B6	Steven Cameron Woo
7AA5B8DF	Liadan Ocallaghan
66DFAAEF	Turner Whitted
84921F89	Marina Meil¨£
7F70B290	Venkata Sreekanth Annapureddy
84EC6F63	A Jalabert
85BA89D3	Jirong Wen
7FFBF9A9	Andrew J Ko
81FAEF5A	Nancy Lynch
795F7D7D	Anja Feldmann
8471E458	Thomas Ball
1000A8CA	Jacob Barhen
0A6339E7	Ravi R Mazumdar
7FDF5E3F	Jeff H Perkins
7D539ED0	Mamunur Rashid
82AD16E6	Naveen Srinivasan
7BC5A0FF	Gordon Plotkin
7E82FAC7	James Jengweei Lin
7BCFE8F5	Joan M Dimicco
76166AAD	Ellen Isaacs
1447DD1D	Tommi S Jaakkola
85846FF0	Kenneth P Fishkin
8628C653	Theodore M Wong
7F9CA895	Daniel Jackson
7575972F	Jon Crowcroft
82734711	Wolfdietrich Weber
85F27E65	Calton Pu
0B7A5B11	Viveck R Cadambe
7FDD8FCD	Xiaoli Li
7CC564EE	Jeancharles Regin
7788BD29	Hayit Greenspan
7E893C4C	Christopher I Rodrigues
7E0DE8DC	Henry Lieberman
862E8A93	Richard Cole
7F80337D	Adnan Aziz
800EFE4D	C Douglas Locke
80CCDC62	Philip Laird
776DF7B9	Guido Appenzeller
79B55EC5	Nikos Paragios
7E5DBD95	Zonghuan Wu
0A3D36A2	Eugene H Spafford
7F6EA95C	Janak H Patel
855FFED2	Nachiappan Nagappan
0D571F3D	Leo A Meyerovich
7E51C12A	Peter Gilbert
109E4D2E	Gregory Delajoux
7510C5CA	Louis B Rosenberg
03C0D031	Peter Druschel
8524BDE8	R L Kashyap
4AFCC0D2	Berthold Vocking
7F2591B2	Yindi Jing
7AD43D6E	Philip Wadler
7EBD82A2	Y Richard Yang
8587CA20	Niels Provos
813B6CE3	Roy Goldman
7EDE0284	Prakash P Shenoy
7F6A9FBE	Mary Fernandez
85376E2F	F K Zadeck
7E3562B1	Calton Pu
8292FEA2	Saurabh Sinha
80E7B7A3	Yihfarn Chen
8479D577	Dan Geiger
7F6F6714	Danny Mcpherson
7EA9EFAA	Sarvar Patel
80D81F2B	Martin May
85DF677B	Ramakrishna Gummadi
8096017C	Jaewoo Kang
7DA9C219	William R Cook
77B71118	Arun K Iyengar
811A2352	Peter Nordin
8015BBA8	Sebastien Roy
046A95B3	Baruch Awerbuch
80E666DD	Shailesh U Hegde
10098F39	Charles Steinfield
7DD67237	Paul Caspi
7D0E0FEB	Gaurav Sharma
82F1E45F	English William K
14592651	Thomas Reps
7D0F8D63	Nelson Huang
852CA158	Fei Wu
2742DFCC	Thomas Brinkhoff
72E74451	Richard O Duda
79DA05FC	Robert C Bolles
0814E2F6	Georgios Tziritas
0C26F2F9	Bjarne Steensgaard
7E0781F2	Charles H Bennett
6FD35DDD	Harry C Forsdick
80870E19	Susumu Fujiwara
251E7898	Teunis J Ott
286100BF	Keith Marzullo
80ABA8DA	Ryan Shipley
7E112CFB	Ricard Gavalda
0B1EE9EA	Simon Litsyn
170CF127	Paolo Faraboschi
80D9637A	Kumud Sanwal
7D4CE9D9	Jose A Borges
7C53C4A8	Marc E Fiuczynski
03FD85DC	Olga Veksler
7FA88451	Adrian Segall
48018A3B	Xin Deng
7CF37E56	Yingwei Cui
8030A705	Matthew Mattina
86132A89	Carl A Waldspurger
7D399FDD	Robert P Goldman
806CBED9	Shulin Wu
7A91E5FE	Katherine J Hollenbach
7E6FA3B2	John Mccarthy
7F52CA74	Waitian Tan
8200C0EA	Dipanjan Das
1409A703	Neri Merhav
7C7468C6	Tomas Sander
84DCA830	Shakhnarovich
7EE06BD5	Jonathan Aldrich
7B3A02A7	Mahtab Seddigh
7F0589D2	James W Roberts
7855774A	Eugene Charniak
85D94DDE	Van Jacobson
83584D71	Hadi Esmaeilzadeh
7FD35A4C	Lionel C Briand
7FE46154	Jane W S Liu
79039572	Vijay Arya
7DE385B0	Erfan Ahmed
218FC062	Geoffrey E Hinton
62382CF1	Paul L Zador
2AB83412	Joseph Y Halpern
84A9CEC4	Rolbert Tibshirani
812EF661	Shyong K Lam
863926A4	Mohamed Hefeeda
7F34A007	Jeremy Stribling
7D637C0C	Chang Wen Chen
7C430214	Zhen Liu
7E28A2F3	Yalou Huang
83CCFAA1	Joann J Ordille
86311872	Oren Etzioni
0528B8C7	Eitan Frachtenberg
75A9C3A9	Manuel Fahndrich
54B21C76	G Schenkel
791C0478	Jonathan Herzog
7C80F702	Viktor K Prasanna
4E86463E	Goetz Graefe
7EF2773E	Giuseppe Caire
4A6B2B05	Tapas Kanungo
802132F1	Shuiwang Ji
76428ACA	Dimitri Metaxas
7E4BD195	Mohammad Arabzadeh Mohammad Abadi
0A46A038	Serge Abiteboul
809641F0	Philip J Hayes
14519C72	Colin Bannard
7DB5A190	Hong Wang
7B71423A	Michael L Kazar
7E56C2F3	Jianliang Xu
7EB20173	A S Morse
7E42EB62	Xiaoyong Liu
8022F1A1	H Itani
80D38E23	Nanning Zheng
7CF9E0B2	Leslie Lamport
13F5F9F7	Pierre Jouvelot
7F5B4102	Aris Anagnostopoulos
7FB46F26	Yongseog Kim
1497A534	Masatoshi Okutomi
2BAD71BF	M Basseville
7FA94F9E	June Chul Roh
816F0B51	Peter F Sweeney
7D528174	Stephen B Wicker
8044846B	Shahram Latifi
7888C805	Van Jacobson
0989E2F6	Thomas G Dietterich
816BE8EB	Helen Pinto
7F231AD5	Ishfaq Ahmad
71DAADA3	Valentin Robu
7CF3931C	John Bethencourt
7D72C284	Shinichi Kawamoto
7EEFD3AF	Jason Franklin
7F6D6089	Xavier Carreras
006E6056	Svetlana Lazebnik
7894D969	D Proietti
80FED974	Mark Levene
7F4E5C0E	Sungju Lee
7FA5C32D	Xiaodong Zhang
7D70A551	Paul S Bradley
7DEC67D2	Richard J Littlefield
7AB6C9F9	Niko Baric
1129A9A3	Becker
173509DC	Steven E Lucco
7F514991	Ian Heath
7DD541D3	Yeehwei Teh
84AD2912	Perona
27822006	Sudarshan S Chawathe
82268858	Mario Gerla
29707864	Luca Vigano
7F2757B5	Craig Chambers
7F11FBB5	Nora Dabbous
824FAFD0	Christophe Diot
79EE2EB3	Christophe Clavier
7DE1B31D	Alan Su
7E53EB65	Tom Drummond
75E939E4	J C Palencia
816299B4	Steve Martin
8205BE07	Richard L Sites
198A0E1F	Arun N Swami
81D40B35	Frank Thomson Leighton
7F5CF1D8	Anthony J Bell
49D5E254	Ian Wakeman
7D7FF1FD	Carlos M Fonseca
774515B3	Jeffrey C Mogul
783AC37C	Shenchang Eric Chen
7C36D4DC	Christopher J Burges
85BF17BC	Mario T Schlosser
857F168A	Vikas Agarwal
7D202571	Hubertus Franke
862B1127	Boehm
8567EC11	Timothy Sherwood
84D5D12D	Gerhard P Hancke
7DC12B05	Jun Sun
80D6D27A	Kazuhiro Kuwabara
10AB6882	Chane L Fullmer
7D51526C	Al Mamunur Rashid
83D52AA1	David Grove
83072A99	Bahareh Sadeghi
