75D11493	Gerard Verfaillie
84D05908	A Faloutsos
81758135	Jeanmarc Debaud
4B97FC7C	Dalit Naor
7CAA2A29	Boris Grot
8324C674	Michael Nash
7FCA69EB	R Hammons
7D94D7CB	Robert H Halstead
85C400BA	Jeffrey Scott Vitter
7DC66AE8	Ahmed E Hassan
8530975D	S Antony
7DF678AC	Ward Cunningham
806D1F4E	Younggoo Kwon
7EFC48EC	Darrell Whitley
7D6FA52C	Joseph Gonzalez
7647C5CB	Karen E Lochbaum
7EF67BA3	Sven Koenig
7618596B	Sherri G Menees
77D6C782	Armando Tacchella
7D4BECF5	Istvan Albert
7B47207B	Maurice Herlihy
8091D06A	Anna C Gilbert
7FC3C5F7	Robert G Gallager
8017D65C	Ya Xu
814DD24F	Ernest Szeto
7F375965	Hiromichi Aoki
7D0E921A	Aran Safir
7D3F97E8	Lisa Ballesteros
852BE766	Patrice Quinton
7FD78E52	Shuicheng Yan
756FE1AC	Johann Schumann
14C1E392	David E Culler
7271F1CA	Tao Xie
7B3378D4	David Poole
7D708AAF	Stefan Savage
7C80F702	Viktor K Prasanna
7CDFB645	Alan R Kay
7A433045	Rabinder N Madan
853C5A36	Daniel Simon Mills
1208DA09	William A Arbaugh
7E38E434	Pascal Paillier
789F186F	David Wentzlaff
8021448F	Diklun Lee
14E539CD	Miklos Ajtai
7D9BCB71	David A Evans
126F65C0	Xavier Rival
833867B3	Julio Cesar Prado Leite
80368B00	Benjamin Rey
848370F7	Anthony Bonner
1228DD7A	Marcel Rupf
7C7C881B	Alexei A Efros
4940AAB0	Ghassan Misherghi
026E0E40	Brian G Schunck
7EB23CE6	Waqar Hasan
81A3A558	A R Hammons
85D94DDE	Van Jacobson
8049D01A	Trek S Palmer
81765183	Robert A Morris
14D984E4	Vijay Saraswat
7D35D583	Bo Zhao
7F2F3C61	Ian Fischer
7DF74D76	Judson Santos Santiago
75FCD8BF	Madanlal Musuvathi
7B8F162B	Hsiaowuen Hon
7EC9734C	Paolo Santi
7A900EDD	N Delprat
7F43A288	Mikael Nilsson
7FAF79C5	Pohua P Chang
790A5AB6	David Blaauw
2A2E8E39	Daniel Delling
7FF1EEA7	Guoliang Xue
7D74F68F	Nitin Jindal
80336766	Xuehua Shen
71A72B68	Hugo Krawczyk
7DDB8EFB	Steve Zhang
7D2A9855	John D Davis
78C5D957	Anirban Dasgupta
10E6B1A3	Ellen E Boughter
7BB77CB9	Jeffrey F Naughton
7E1B8F56	Pramod Viswanath
7F3DE3E5	G Edward Suh
8628DB3C	Hanswerner Gellersen
810B4A93	Zheng Chen
7DAA8A38	Wade Shen
831329E8	Mehmet Altinel
806E6EEA	John D Musa
7FEA96DA	Sonesh Surana
11D71853	Gisli R Hjaltason
7DDB89CC	Qian Wang
7F96AC8A	Gerhard Kramer
7A97C2DE	Aaron Zollinger
010C7A2D	Laurent Itti
75608E90	Li Xiong
2A69556A	A Prasad Sistla
81E931F3	Vinod Vaikuntanathan
11A2108F	Javed
7550F599	Saul Schleimer
7E36EA57	L J Hwang
0D7FD7CE	Bradley C Kuszmaul
275DF53A	Peter Pietzuch
753AA403	Stefan Schaal
7AA52464	Markus Jakobsson
84F892C2	T Von Eicken
80E55D92	Shaomei Wu
7BCFE8F5	Joan M Dimicco
7D59B23C	H Sebastian Seung
80EEF9BD	Stefano Paraboschi
7E4AF86C	Jorg Sander
7ED20B3B	Geri Gay
138C186B	Philip K Mckinley
770C4EE4	David R Chase
18D7056C	Michael Elad
7ABC766B	Gavin Jancke
7AB957E5	Todd E Hunter
7DCF4DB5	Jorg Widmer
76230F36	Jie Gao
76E95691	Steven Parker
251E7898	Teunis J Ott
793C843A	Boi Faltings
13D89966	Andrea Vedaldi
7E717172	Irwin King
85CE29D1	Rudolf Eigenmann
82AD0E9A	Matthew L Ginsberg
7DEFAFC0	Christopher Boyle
7DE49A52	Jerry Cheng
812C6D9B	Srilatha Manne
823F21E9	B R Iyer
7BE79D99	Kenneth L Mcmillan
80433E7F	Yidong Yuan
7D5C1552	Kevin S Beyer
6BCEFF2B	Ion Androutsopoulos
7F535E45	Monica S Lam
7E6F96E9	James H Andrews
757BFCD6	Dean M Tullsen
7F1604CC	Ken Ashcraft
84CF39B5	Vijaykrishnan Narayanan
854E5170	Thomas Koller
13AFD880	Vinod Vaikuntanathan
800F2069	Yunyue Zhu
7788BD29	Hayit Greenspan
852B1A54	Panagiotis G Ipeirotis
7A289B53	David Smits
7F960928	Takeo Kanade
493B0548	W Schwabl
8098DD1B	Mauricio J Serrano
7D1FAD7B	Anuj Puri
815AD65C	Jian Su
7D30EA44	Gail C Murphy
7579DAD4	Lubomir Bourdev
80FCA44F	Raghu Ramakrishnan
853A2C96	C C Tseng
8079FC67	John Potter
816D3BD9	Michael J Jones
292839EF	Klaus Havelund
1E7D4719	Brian Curless
0D1A1BFE	George Karypis
790E72A8	Holger Wache
10035F2F	Edouard Bugnion
8076486C	Zijian Zheng
0D571F3D	Leo A Meyerovich
7E002CC8	Matthew D Hoffman
82A4A48D	Sue Moon
76B9636C	Jeanphilippe Tarel
7E934328	Yatin Hoskote
7E4BD195	Mohammad Arabzadeh Mohammad Abadi
84BB18E9	Gary L Mcalpine
765C6147	Johannes Gehrke
7C844E63	Romain Thibaux
82536A7C	Bo Wang
13C45022	Pavel Avgustinov
77735DB1	M Fernandezlopez
80F6F1D4	Pradeep Dubey
7E247B37	Steven B Bibyk
7D39F5EB	Jessica Lin
7A84B27A	Anant Jhingran
80D81649	Alon Y Levy
809C3D96	Mohammed Kayed
7721133B	Stephen Soderland
76B1DE3C	Radu Teodorescu
75D2E4DE	Yue Zhuge
810626D9	Yuzo Fujishima
7A0EA87A	David N C Tse
0BB2A17B	Jens Grossklags
7F059B3B	Andrzej Duda
7897DAF1	Andrew Zisserman
81912A5C	Michael Freeston
7540EEEF	Weimin Xiao
85BA89D3	Jirong Wen
5F681E05	Bhaskar Krishnamachari
7F40D101	James Hamilton
7DE04C22	Cordelia Schmid
7543309C	Frank Moosmann
7B5EABE5	Affan A Syed
80D90095	Manish Gupta
76333024	Alex Fabrikant
7E4BA9F9	Jorg Kliewer
73B7739A	Steffen Staab
0DE4383F	Alessandro Acquisti
811E71FD	Bede Liu
8507983D	Amir Ronen
771E2DCB	Paulo Braz Golgher
7DC14F87	Satyaki Das
7B5B5847	Ramakrishnan Srikant
7615B7A4	Alan K Mackworth
78A6783D	Hector Geffner
800DE708	Alain Mayer
7A1C4759	Robin Kravets
7B7BA2CB	Carl Gutwin
7CFBF82D	Kristin P Bennett
84D37817	Greg Hullender
83E1272D	J C Belflore
753E54C3	C Unnikrishnan
7897C15D	Jason Eisner
7D24233E	J S Zelenka
80328826	Te Han
7A222472	Anestis Karasaridis
800671E3	Samrat Bhattacharjee
14110F6D	Stefan Saroiu
82F0C9F0	J K Aggarwal
7D57796A	Mario Szegedy
7F7B2049	Tal Malkin
765F6503	Arnaud Doucet
24F75CFD	Brian Rexroad
7E1CC700	Erik Riedel
7B82A0C0	J Ben Schafer
801FEB0A	Xing Wei
855304EE	J D Tygar
857BCA7E	J Max
67A29BC7	Marco Chiani
79EE2EB3	Christophe Clavier
7EC859B7	L Gutman
05DC3322	William Adjiewinoto
71DAADA3	Valentin Robu
10C6FD09	Vikas Sindhwani
84C01160	Chris Erway
783EFDB6	Lloyd R Welch
10FB2C8E	Paul Francist
77E30A28	Martin Hoefer
80BC4A9D	Jiayu Pan
67C57DD1	Quan Z Sheng
838AA600	Ronald Cramer
7D57D5C3	David J Love
80FB9820	Robert Deline
755FC543	Hong Jiawei
7FB42A96	Joshua A Tauber
84B67B57	Cordell Green
7FACE54D	Simon S Lam
7D895E26	James A Davis
7E618A9C	Ted Pedersen
7776715A	Myungcheol Doo
7A3F6696	M N Yigitbasi
72264832	Josef Raviv
809641F0	Philip J Hayes
80056B64	David D Lewis
855C30C1	Yuting Zhao
10F8F7E8	Dharmendra S Modha
7FC1194A	Steven J Phillips
7EA916E3	John N Pierce
813191F2	A A West
7E8AF279	Thomas Ball
84EB5C06	Dhruba Chandra
7C50EE94	Alex Gammerman
7B7F9E96	Dirk Hahnel
7F58F35D	Wei Tang
81392454	Ting Yan
7EF77829	Carola Wenk
00986B65	Daniel Cohenor
7ADD9692	Kimberly Keeton
775262EE	Jacob Neal Sarvela
7C66CE3E	Daniel Ramage
0971D3BA	Behnaam Aazhang
7FAFD179	Douglas T Ross
848FDBC7	Fay Chang
8326C767	Helene Fargier
7E181101	Piyush Mehrotra
84905289	Daivd D Clark
75D47833	Aruna Seneviratne
808C6019	Glen G Langdon
858AD332	Einat Amitay
86392558	Miguel Castro
8024D60E	W A Steiner
804465CF	Anil Agarwal
80EF59A5	Clarence Ellis
7F50D809	Qinfen Zheng
7662630E	Dan Suciu
7EB978DB	Michael J Wiener
7BC12F8D	D Von Oheimb
777DAF08	Eman Anwar
7F84C675	Benjamin Reed
754C6140	N J A Sloane
80849C5F	Sheng Zhong
85FD93EF	Richard Dearden
805EEB13	Te Sun Han
8297B80E	Rick Cattell
784674DD	Sameh Elnikety
84C39B4D	Arthur C Sanderson
77FFA51B	Omkant Pandey
802C378E	Chuanxiong Guo
82A0FEE3	Ian Bratt
7830534A	Jitendra Padhye
863C60FE	Stefan Savage
2C28FB10	Karl Crary
7D51EFBF	Robert C Hansen
7C92C961	Steve Hanks
24805FA6	Emmanuel Cecchet
7DD9DD48	Blai Bonet
7E7AA290	Jonathan Wilkenfeld
1343BACC	Jeanyves Le Boudec
80BC62F9	Jon Whittle
7FABBEB2	Doug Burger
7D785346	Xian Wu
792C7B2B	Barney Pell
7BBF95AF	J Eliot
812BDC43	Sang Kyun Kim
82639A7C	Matt Schultz
063DA3D3	Per Runeson
7D52AFAF	Satinder Singh
7F9907E3	S R Zhang
6B8AB441	Benjamin Ransford
7BA1138F	Gabriel M Kuper
80238C16	Jianyun Nie
7EDED232	Reagan Penner
761AD854	G De Veciana
80C8D19C	Abhijit Sahay
7DAC0502	E Seo
7D6D7D85	Brian Noble
802B4A20	Robin Sommer
7FD11CF6	Srdjan Capkun
795308E3	Praveen Kumar Gopala
8569709C	Bruce Edwards
7E4338C3	Daisy Zhe Wang
7896FC99	Anukool Lakhina
818CB9C1	Yan Huang
7F38E4C4	Christian R Shelton
7F05BE3D	Yufei Tao
809F0167	David J Fleet
82957D87	Girish Ganesan
85056B7E	Lawrence Ogorman
834B4C1D	Hans M Jacobson
7F62A991	Richard P Lippmann
7855774A	Eugene Charniak
188B557A	A Inkeri Verkamo
76CBD5AC	Swaminathan Sivasubramanian
12E6A5D5	Alina Beygelzimer
7594E76D	Margaret Martonosi
7E47C404	Anand Desai
28D4D015	Holger Boche
8319B0B8	Martin Abadi
7D6C6D64	Fabio C S Da Silva
0E2BB460	Paul S Rosenbloom
7EB680F3	Johann Christoph Freytag
7E5FB516	Qingbo Zhu
86058D7D	Pat Morrow
7EFF4C98	R K Agrawal
05FFC53A	Norman Sadeh
795F7D7D	Anja Feldmann
14D3BC6B	Neophytos Iacovou
0CAE986D	Shah
7E7AA042	Waiman Lam
721712F1	Abhijeet Joglekar
7DEA2715	Mark Heinrich
7E8D5CE6	Gilberto Contreras
8485680D	Jer¨¯me Simeon
7D13E11D	Wiley Greiner
813BF473	Ethan L Miller
8472502B	Steven Swanson
7AE7C4CB	Timos Sellis
2179C649	Lukasz Kurgan
7E12B621	A Gupta
806DCF8E	Edward Y Chang
7ADBB998	Phil Bernstein
7C9489D3	Suresh Venkatasubramanian
7FF7EB20	Steven Low
7DF708C8	Philip Pritchett
7FBC4F90	Lawrence K Saul
073FBF8F	Kevin S Mccurley
9DB6ADA8	Lin Xu
7FEA6C11	Markus Schneider
853F9FB6	Sanjay Mittal
27F7D98C	Giovanni De Micheli
848B9403	Haitham Akkary
7EFE1EA6	Qicai He
7E9B3D08	James Philbin
7CC8F680	Benjamin Chelf
002C2840	Michael J Cafarella
80680602	Mark Mitchell
823EFEF4	Simon Peytonjones
77C8E7E8	Zuhair Bandar
7E7A0143	Brent B Welch
7EB76E56	Haniph A Latchman
7A7754D7	Keith E Mathias
7F5650CB	Qing Fang
7BF84C1E	Christopher F Joerg
1654B451	Yan Zhou
1347BBFC	Deniz Hastorun
7A55D741	James Mammen
7C4E3371	Bruce L Mcnaughton
78842F88	C V Hollot
7CFE2621	James Allan
7F5E2DC9	Martin P Robillard
7E0CB5DF	G De Micheli
821B40EF	Thirumalesh Bhat
7FC5E387	Wenyu Liu
0F26F4F8	Martin Azizyan
75465EEF	Alex Pentland
2B91DE16	Corina S Psreanu
76EA92BA	Azza Abouzeid
8556EB60	S S Iyenger
7F7D3298	Debanjan Saha
806DEF88	Richard Jensen
803CD73E	Geoff Mainland
0DB6F58E	Claude Carlet
7C33BA1C	Sriram K Rajamani
86399701	C K Chow
7797060F	Daniel E Rose
7D5A4A80	Ashish Gupta
164F3247	Ravinder Chandhok
84840C03	Steven Ariss
79BF1B92	Douglas S Santry
7F7AF17D	Michael Bowling
8068BFF2	Kenji Hatano
7DD7F06E	Bret Hull
7CF6962D	Lusheng Ji
7DD265E0	Hyungjeong Yang
80EE3C1C	Manuel Blum
5DDA8BB5	Svetlozar Nestorov
863332F5	Daniel Frampton
7E0CDF8E	Randal Burns
8573311A	Kai Xing
792E0574	Scott Deerwester
326855A1	Raul Medinamora
1174C58E	Mittal
7D5044AD	Brian F Cooper
74DDE450	Deepak Ganesan
7CA70B4C	Guo Zheng Xiao
8124DFF1	D J Costello
80D9B976	John Cocke
607AD246	Silvio Savarese
807E32B9	Douglas S Reeves
81439CCE	Jeandaniel Zucker
7EDC8546	Jon Howell
78A26763	Jennifer R Kwapisz
815492CD	Jianying Luo
77A8509F	Sam Hare
757632F7	Johan Pouwelse
80E914C0	Soung Chang Liew
78DE44D4	Roger L Haskin
8485DF98	Amnon Lotem
836F0F86	Brian Cooper
7DB228C8	Haibo Hu
84B9AC01	K Chenchuan Chang
4BB8BAE6	Peter A Alsberg
812FF69E	Daphne Koller
6494C0D7	Christian Convey
7F60458E	Robert Nowak
097C5971	Klara Nahrstedt
8557C361	Mary K Vernon
81761583	Darrell D E Long
8037B394	Jin Li
7EA194E3	Lizhu Zhang
7EECD161	Barbara Y White
7C06308D	Rudolf Bayer
835BAEDA	Charles L Seitz
7F9CDC8F	Burton S Kaliski
0C85E941	Patrik Dhaeseleer
80AD96EC	Konrad Lorincz
7DAADF92	Armando Fox
2855F722	Natan Cliffer
141CCE86	Ludo M G M Tolhuizen
7FF3D224	Shaul Dar
7E078B4E	Jon Mcauliffe
7EE0B731	Marc Friedman
219BF441	Frederic Cuppens
7DFE8037	Michael Muller
7932BE4D	Richard R Muntz
803C2A82	J F Scott
84D77C3B	Suresh Singh
816D1B27	Mark Miller
0B3BD633	Peter W Ohearn
0176FA44	Yves Grandvalet
7E28A2F3	Yalou Huang
7EF781E8	Changyan Di
7ABF3629	Thomas Hofmann
80D793AE	Brad Calder
8620CF3C	Vijay Saraswat
7CD819C3	David M Pennock
0C26F2F9	Bjarne Steensgaard
7D48C118	Jon Richardson
7F313865	Robin Garner
7F50968C	Herbert K H Lee
1462CFE9	Thomas A J Schweiger
0E766EAB	Robby
7DD5BD8C	Joshua Zhexue Huang
7D4132B9	James Leong
7AC8C538	Neal Sample
851087E0	Jennifer Rexford
7B9C63AC	Prem Melville
1BAD50BC	P Venkat Rangan
7E7A3A69	Jiawei Han
7DBE4309	Raymond T Ng
7E0FB98C	Giovanni Pacifici
7E753A22	Steven Weber
79D4CE58	Rachel Pottinger
7DA9C9BD	Philipp Koehn
097DB355	Menachem Magidor
0BE7F1FA	Dennis Volpano
7EAB2C78	Usman Latif
003A7BFD	David E Rumelhart
8291E059	Jorge Lobo
7FCC4071	Phillip B Gibbons
7F295D9E	Yejin Choi
7CBDC305	Honghai Do
09743EE6	Nicola Muscettola
0EEDF6CB	Matan Mandelbrod
7D8944D7	Klausrobert Muller
7EA0B8C7	Manish Mehta
0C092684	Ron Avnur
02E63DB3	Gert Cauwenberghs
7E806C3D	Jim Chou
7E46B5B5	Chunying Huang
7E65FD23	Terence Kelly
7DA2DDA6	Joseph L Mundy
170CF127	Paolo Faraboschi
109A673C	Ryan N Lichtenwalter
81F0D3F6	Richard Fulton
7D946CEE	Amit Singhal
7D603DC0	David Walker
7E31200A	Kent Beck
2B9D8E01	Bruce M Maggs
85B3965E	Xiuzhen Cheng
8124CA7E	D W Martin
862BBCEC	Robert E Schapire
7E7170F2	Jonathan Harel
8009C3E0	Jamie Callan
807744FE	Santosh Kumar
51115DE8	W A Ijsselsteijn
80E4E3E9	Lixin Gao
78E1E8DE	Bruce G Baumgart
8133FD9E	Andrew Carlson
2BDFAD0D	Allen K L Miu
7F0B52B0	Robert Schreiber
7AD20559	A T M Aerts
7A414742	Ram Nevatia
821C21D0	Robert W Heath
48E18DB7	Leah S Larkey
7DF7A9E2	Michael P Williamson
7D478D77	Andrew D Gordon
8144FB20	Vijaykrishnan Narayanan
1256F0EB	Eyal Kushilevitz
7EE457A3	Monika R Henzinger
84136BC2	Ernest F Brickell
7EFC8F60	Edwin M Knorr
7F1DB0B8	Jack Lacy
84A31799	Anne Marie Merritt
6DC4E18D	Sarang Dharmapurikar
279A1DE7	J J Horning
82964078	Wemi Zhao
79C4E119	Victor Lavrenko
85941E4A	Yoram Singer
81034328	Jonathan Ledlie
7E67353B	Kevin Thompson
7915F15B	Craig Labovitz
8475FD57	Kevin Knight
86306D89	Olivier Bousquet
EFCD0907	Lin Guo
80A81A7E	W Fox
7D6D8078	David Lowe
090CB3E4	Bernhard Rumpe
7A094616	C F Chiasserini
11DF3FF0	Nikos Komodakis
0A24412C	Bernard Widrow
81306A4E	Raymond J Mooney
2C5D9BA2	Vapnik
0F6B31A3	Gary Bradski
80E8362C	Richard E Rasmussen
58E744F1	A Shaasua
7BEB83FB	Kurt Konolige
80650189	Bob English
7AB380BC	Jason Weston
752A2F0E	John Hennessy
80347879	Damon Horowitz
7D1D1549	P J Brown
7D4895B8	Peter F Corbett
751E9A7C	Leo J Guibas
79DF8F39	Lea Kissner
7816A31D	Pavan Nuggehalli
CE6A56B1	Gang Lu
0F1C36EE	Arvind
0B7A5B11	Viveck R Cadambe
7D30E7BE	Gordon V Cormack
862B3355	Jun Yang
80F39323	Ian H Witten
7D0273BB	Rex Min
778D8488	Mayur Naik
80EE45DA	William D Harvey
7E12234B	Aloysius K Mok
7D94F2C9	Enrico Motta
0F67D61D	Dani Lischinski
84E3FD81	David R Wilson
85D59896	J David Schaffer
7D87C64E	Scott F Smith
77721120	Tom Wexler
7F0A78D1	Daryl Porter
80DFFC20	Mubarak Shah
77D97A29	Alex Peleg
80B6CD46	Gordon P Hughes
764E3BCE	Li Feifei
7D05FBB8	W Nick Street
01226591	Noam Nisan
3CDC5E8C	Claudiu S Firan
80215313	Stefan Decker
7D46DD15	Keith L Clark
7D49BC4E	Dan Ingalls
7F54F82E	Joseph Herring
79BD0852	David Taubman
7E9B350B	Quannan Li
0420000C	Herbert Edelsbrunner
8045B6EA	Elaine Shi
7FDC6D21	Sam Glazer
7F9FA157	Randall Davis
01C66E8C	Tevfik Bultan
7DF3690E	Paul Ruvolo
810FBC1B	T J Tjalkens
778385FA	Andreas Moshovos
7E5A3B2D	Aashish Phansalkar
852CA158	Fei Wu
786B253D	James Tuck
6D803B74	Frederic Jurie
7E2918BE	Stefan A Brands
7D922E14	Matthias Seeger
80A4CFEE	Dell Zhang
8628C653	Theodore M Wong
84146070	Franz Josef Och
7D8EBBBB	Ze Deng
82BB8124	Himanshu Gupta
7ABD13E4	Ananthram Swami
0C652565	John S Baras
85ADBA17	Chu Min Li
7E151199	William M Taylor
11563008	Dinakar Dhurjati
84913998	Prainod K Varshney
7EE97CA1	Saswati Sarkar
80664857	C C Enz
76A24E19	Nick Lanham
29AD6DCB	Olgica Milenkovic
29B1C02D	Wolfgang Granzow
80104DE2	Lei Zhang
7D99E7D9	Marc Girault
2BAD71BF	M Basseville
7E94D290	M Newbold
753212C7	Shai Bagon
7EBE6972	Simon Baker
7FDDBF34	Jakob Verbeek
82BA3996	Tong Zhang
7FF56C9D	Sang H Son
76C43609	Dennis Fetterly
2806B3AA	Jennifer Widom
79A9F033	B M Horowitz
823FC04F	David I August
0E811613	Ali Khoshgozaran
8512829B	Fred Douglis
7D690CC5	Seema Bandyopadhyay
8548F06F	Satish Rao
7E97FB30	Jason Hsu
837718D8	Richard C Singleton
75FCDF60	Radhika Niranjan Mysore
7F86C552	Hyuk Lim
7D6CA609	Nathan Silberman
7DAA7333	Karin Petersen
7D85FDA1	Maged M Michael
816C1242	Amir Pnueli
80D58ED8	Ion Stoica
7D46273E	S Lloyd
7F4389AC	Jiuxing Liu
7ED5056A	W Bruce Croft
00ECF1FC	Arvind Hulgeri
85218D34	Thomas Neumann
0F0DD427	Paolo Boldi
4A690B14	Marius Leordeanu
7CAF3E7B	Bertram Ludascher
7D5455A7	David E Goldberg
80B47319	Weili Wu
0959BB35	Sunita Sarawagi
7D88ABA2	Malcolm P Atkinson
02FC6B9E	Marios Hadjieleftheriou
7C4D6706	Brian Hart
7F6340F3	Kui Ren
13148288	Avinash Sodani
800F58E2	John W C Fu
286100BF	Keith Marzullo
7FFDC977	George Buchanan
7DEC157D	Johndavid Wellman
7E7B748C	Douglas C Schmidt
7EC73DE6	Fernando Pereira
7D2C0B4A	J R Horgan
7F9266EC	Thomas Seidl
7681C4AA	Roland Siegwart
7E30CEF7	Brad A Myers
80B96665	Ralph Johnson
793BE85B	Jack Brassil
7C2D8AAE	Saman Amarasinghe
75A0A19D	Lydia E Kavraki
62CB0DF1	Nina Bhatti
7D2B8061	Jing Jiang
73F7CCB0	Barrett O Comiskey
136C5068	Michelle J Moravan
7A2ECB99	Thyagarajan Nandagopal
7D3E3AB6	Gerard Salton
81B9245F	Christian Hang
77BEB209	Alan Walendowski
7FB6EC4E	W Koch
8506BB73	S Rajaram
7AA9F169	Edmund H Durfee
76ED69F1	Ronnie I Chaiken
7FB00424	Tamir Hazan
803EBC75	Randal E Bryant
45B6CCD7	Nicholas R Howe
83810BA6	Hideyuki Tokuda
7EFD969E	Jasmine Novak
1250A870	Daniel Billsus
78649433	Eric Foslerlussier
7E6FA3B2	John Mccarthy
86229787	Rajiv Laroia
8486D3CD	Paolo Soto
751F95A1	Aaron Hertzmann
831137F2	Daphne Koller
78D31015	Chris Heegard
7C4EBE8E	Ning Cao
7EC09AF3	H C Wolf
56BA193F	Jeffrey S Kuskin
75A6EF5A	Aleksandar Kavcic
109E4D2E	Gregory Delajoux
7ECD193F	Tom Richardson
757769EC	Mark Moors
1093F94A	Ingo Mierswa
7A247C3B	G D Forney
7F0589D2	James W Roberts
788E90CE	Giovanni Manzini
77EE67E7	T J Giuli
7B995DCC	Ashwin Machanavajjhala
7D4C08E3	Richard E Stearns
0ADEBB35	Nils Klarlund
2A5670CB	Edward Rosten
8082FAA7	Dragan Petrovic
7D4338D5	S Hong
7D5741D5	Manish Bhardwaj
7E95BFF4	Akhilesh Singhania
845076E6	Mustaque Ahamad
06DBA2A9	Rachid Guerraoui
82BAA904	Markus Gross
8353FAC9	James Shaw
859E47A6	Upamanyu Madhow
7E173581	Laxmikant V Kale
7D72A54A	Vivek S Pai
7D94C083	Todd Austin
7DE8C33B	Edward B Eichelberger
82C1BF88	Martin Nilsson
848B3CCD	Lawrence C Allen
809A486D	Jing Wang
8175F519	Ravi Prakash
84D15A32	Pierre A Humblet
7A76B9F8	Shankar Ponnekanti
7C579523	Karsten Borgwardt
789561CB	Nenad Medvidovic
77DC969A	Chaitan Baru
8494D64F	Fusheng Wang
7D652691	Joy A Thomas
29A68C06	Hanspeter Frei
79125367	Allen Miu
84996D2A	D N Jayasimha
65ED198E	Daniel Von Dincklage
485CDFFD	Doug Kimelman
841C0651	Padhraic Smyth
78F4907E	Brian Randell
7DB73E0F	Lei Guo
75923E7F	David R Choffnes
76C138FF	M Y Sanadidi
2C59B2D4	Tal Shaked
858BBCDB	N V Padmanabhan
7B69C2DE	I C G Campbell
7F733322	Jinyang Li
7E66CCEC	Saul Greenberg
7D6B1173	Michael Oren
7F5B3022	A Martin
7DF31B0D	Peifeng Yin
7D0D9841	Phil Pfeiffer
7F373135	Mark Craven
8552E952	James T Kajiya
7D691F3E	Andrea Arcuri
80335E2F	Jens Nilsson
7E6D1AD5	David Gay
848B0984	Engin Demir
7955B87B	Riccardo Rosati
832EF1CC	Per Johansson
80AC2118	Hudson Turner
7FF2AF05	Stephen M Blackburn
809E5A75	Martim Carbone
0C1C8BE8	Giorgio Buttazzo
7D9A21FE	Vladimir Lifschitz
025ED93C	Mihai Surdeanu
6C239C48	Peter A Flach
7E32EFE4	Arif Ghafoor
14D12518	Chrislain Razafimahefa
82939CAB	Suresh Singh
79601574	Matthew Moe
7F2DCB1C	Randy H Katz
24868DDC	Michelle Effros
821910A0	Shigeyuki Yoshida
7F4407D2	Michael M Swift
7E66729C	Ross Anderson
79EA6402	John C S Lui
7FA07F5F	Raymond S Tomlinson
8317EFF3	G R Phillips
7F612BC9	Padhraic Smyth
7F636819	David Kempe
8571FC86	Hanshellmut Nagel
7CEEA7C0	Yung Yi
81074885	Sunghun Kim
11C3D62A	Vasilis Vassalos
7A971D0A	Stephen A Della Pietra
7F06A8F4	Tal Rabin
8122FDC2	Daniel Glasner
80FA89FA	Matthew L Ginsberg
7E199850	Nicolas Pasquier
7BE65F20	Sandra Ramosthuel
84D7446D	Manish Gupta
7DCB776D	Mirco Nanni
11155C82	Peter W Kopke
81E4813D	Roni Rosner
831EB618	Pierre Moulin
038B140E	Russell Impagliazzo
790CBE7A	John Shawetaylor
830AD7AE	Stuart Andrews
81DE69E1	Amir Herzberg
7FC8AB04	Laurie Spencer
7E286B9B	Wentau Yih
862B2FE1	J Bennett
8131B7F0	Quang Hieu Vu
8029C3CE	Adolfo Rodriguez
4BBD786C	Frank Dabek
81C144CF	Bernhard Steffen
7D5B87CD	Lihao Xu
007C16E9	Vassilis J Tsotras
8002D702	Keith H Randall
80AFD808	Sanjeev Arora
7D195AB1	P Gupta
7FDF109F	Geoffrey Brown
80A6DE38	Paul De Bra
83F4ACAC	Ke Wang
7D3D042E	Jianxin Wu
8583083A	T H Chiueh
80C9944F	Tao Jiang
2BC24746	Yehoshua Sagiv
236FA12F	Mihai Budiu
7CF51C41	Liping Jing
84BD7A9B	Hao Yang
8512C3A1	Tomasz Imielinski
7B4331F1	Elizabeth M Royer
862CE5DF	Dekang Lin
7C0A87AB	Mitchell D Trott
7FC77763	Wangchien Lee
7EE857A4	Juanzi Li
80F40C1B	Ruihua Song
7A01B0E2	Jamie Shotton
78126CF5	Fabrizio Cornelli
7FA8751F	Andrew C Myers
75A48C0D	David W Embley
847CD405	Dwight Tuinstra
48D93F43	Jim Partan
0F287332	Sascha Kuzins
806B6930	Taliver Heath
327F140F	Diego Klabjan
7D5C7E42	Peter Shirley
7D7D0C69	Daniel D Lee
2BB8AEAE	Lynn A Streeter
7DA3833A	L Van Gool
0A27A2E4	Thomas Strohmer
03DC2BE3	Peter F Patelschneider
7DBDBA6E	C K Wong
7E738639	Thomas F Gordon
7DDBCE0F	Shan Lu
7A118BAC	Kenneth D Forbus
7CE4F8EE	Luiz Andre Barroso
7D346F68	Ronald Rosenfeld
85EE243B	P Roy
7E01877C	Surojit Chatterjee
81E2E46E	A K Davis
156433ED	Martin L Griss
711E1CE2	Khaled M Alzoubi
7740DFD9	Robert C Holte
80D6B208	Gul Agha
8296CE80	Aya Soffer
7FD35A4C	Lionel C Briand
8623725A	Ravi Kumar
7E1C4BDF	Adi Shamir
7D9F2BD7	Robert Mike Gardner
802E234B	Alberto Medina
7E4B6300	Jason L Hill
2BB35BE2	Earl D Sacerdoti
