0667AC6E	Human-computer Interaction
20DD7F51	File Sharing
01A07E59	Enterprise Information System
08856FDA	Reconfigurable Computing
08BEC371	Acoustical Engineering
046C8D1B	Robot Kinematics
0A076AEF	Gabaa Receptor
0C65A3B2	Mimo
0B6C3207	Energy Functional
01B8BA02	Statistical Graphics
060238C3	Set Cover Problem
08D345DC	Channel State Information
097AA410	Non-monotonic Logic
059093BF	Data Consistency
083F5D67	Interstimulus Interval
033E3067	Action Potential
01AC6CB7	Linear Logic
1E65D0D0	Model-driven Architecture
01A22C1C	Image Scaling
0810A8B1	Inquiry
00CEAF89	Angle of Arrival
07CF2CF2	Temperature
07AF1CBB	Register Allocation
01F6047D	Dot Product
02B8008E	Optical Filter
089D907D	Mobile Computing
01505476	Geolocation
080098C4	Backplane
08D16E11	Camera Phone
1DD1FB15	Computer Simulation
005B33C8	Domain Engineering
0A61B1FA	Reliable Multicast
01F4A404	Chi-square Test
09BB8CC1	Performing Arts
00701568	Transport Layer
0BE20181	Programming Language
099C0AAF	Plant Physiology
0ACB6FB7	Riemannian Geometry
08974DB8	Business
0283E7E1	Data Cleansing
02F49D1E	Component
0729B5DF	Euclidean Distance
00236184	Proof Theory
03027B4F	Texture Synthesis
0C4EE502	Snomed Ct
05650FD9	Robot
03B9FD3C	Quantum Mechanics
03BE3F6E	Hilbert Space
01F58043	Discrete Event Dynamic System
07FB8951	Life Expectancy
0742DD3C	Computer Security Model
0959DF15	Backtracking
0B53CA8D	Natural Philosophy
04A101EC	Computer Graphics
0ADF54F9	Elementary Function
0B258617	Viral Marketing
02590AAB	Corporate Governance
073C0CAC	Principle of Compositionality
070D48D9	Vertex
05BFCA9B	Arabic
052476AE	Strategic Management
03276644	Software Design
0701B06E	Low-power Electronics
068FBD53	Statistical Classification
0696FEF0	Delta Modulation
0BA7B218	Self-similar Process
04625E4E	Cluster Analysis
028649F0	Matrix Decomposition
059458D1	Volume
05BDEFC9	Graph Traversal
0AF8076C	Oscilloscope
093635B5	Expander Graph
0AE867C7	Personalization
061027CF	Random Access
0123B9F3	Frequency Domain
03F8AEDA	3d Computer Graphics
005A06F5	Petrology
0936588C	Computer Multitasking
0343F9B1	Context-sensitive Language
064E5072	Statistics
070E1C76	Atmospheric Model
05E619B4	Transaction Cost
0204A00A	Computer Programming
095B34CB	Instructions Per Cycle
0B116936	Minimum Cut
071CB89E	Vc Dimension
08EDECD4	Emulation
0348F3E8	Functional Analysis
0B653CAF	Lattice
040130E0	Data Modeling
039E1991	Humanoid Robot
017750CD	Global Information System
00CDB633	Image Compression
0B0C6669	Projective Geometry
0B2C570C	Boolean Function
09088068	Test Suite
08083CC0	Heap
059AFB9A	Phylogeography
085C809A	Analytical Dynamics
021B463A	Internet Protocol
083E300E	Linear Network Coding
07FB0AB2	Speaker Recognition
082C2027	Temperature Gradient
0787F1DE	Computational Sociology
01B84C24	Quantization
0959AEB9	Matching Pursuit
08DDF80C	Approximation Algorithm
068673C6	Homogeneous Catalysis
0C351AF6	Semantic Security
026281F5	Substance Abuse
059B4450	Wastewater
091AD1B7	Code Refactoring
0697DA70	Controlled Vocabulary
072BDC64	Distributed Computing
097AE067	Virology
0BE96511	Network Topology
0836DCEE	Motor Control
009364D7	Dynamic Source Routing
07A94983	Affective Science
06EE4F2F	Simulated Reality
03B78A2E	Circumscription
0BBFF393	Merge
0624FFBC	Error Detection and Correction
009F64FF	Clinical Pharmacy
06DAB539	Colors of Noise
03470E77	Distortion
095B930C	Channel
016A0674	Maintenance Engineering
01A5BAF5	Celestial Mechanics
00D1B74C	Web Crawler
06FCACE0	Specification
040E8DBC	Social Capital
09359A3E	Structural Risk Minimization
03BFFA9A	Software Security Assurance
0424E70B	Simple Network Management Protocol
03E38E86	Control Theory
0520A672	Electronic Structure
04F9EB54	Space-time Block Code
08917F6E	Ultrasound
0A67D220	Deconvolution
0804DA85	Transcoding
0C647F12	Signal Generator
08E9F5AB	Diffusion Mri
05E830CF	Scale Space
08AAE69B	Diffuse Optical Imaging
05DAF1E5	Kernel
054DAF53	Abstract Machine
04FD8D42	Qualitative Reasoning
023FA19A	Sequence
0B721F10	Query Language
0B564678	Space-time Adaptive Processing
0AF5FD80	Sphere Packing
01DEF163	Strong Consistency
042C2128	Access Method
02E46F76	Store and Forward
066D46DE	Binding Site
0835097A	Thermal Resistance
078D78C7	Zebrafish Information Network Genome Database
0B9CE8EB	Fluidization
0702D4B2	Electrostatics
031683E8	Termination Factor
0A450143	Lp Space
01FBF086	Recursive Data Type
082D3670	Nested Transaction
05A3FFA8	Partial Order Reduction
05BC1D2B	Unitary Matrix
07CD18D5	Security Association
021E1B9F	Cellular Automaton
0A2CB047	Biomechanics
0BC600F7	Neuroprosthetics
03732A1A	Mechanics
07449362	Noun
01F1B4A1	Least Mean Squares Filter
02972B49	Emi
030F4753	Shared Resource
0A59B497	Introduced Species
0A4663BA	Transistor
0271A5EE	Cp Violation
0814FC77	Scale Invariance
0657FEDC	Image Restoration
04B3384D	Nonlinear Optics
03098092	Paging
02FCE6C1	Mountain Pass
0B151F66	Habitat
0C191F81	Runtime Verification
05FFC6C1	Modularity
097B57C3	Hyperspectral Imaging
040CE43B	Workstation
03D59CFF	Spanning Tree
0B93E3B4	Processing
00499671	Multiprocessing
05DA2B01	Program Analysis
08DD7235	Encryption
1F9C65F0	Radio Navigation
0BB17369	Discrimination Learning
0665AEB3	Decision Support System
0401CB49	Robust Statistics
048AEF7D	Separation of Concerns
01C2531A	Nuclear Protein
007947C1	Algebraic Connectivity
0940FAFD	Interior Point Method
06E81BB3	Critical Path Method
02FD4136	Matched Filter
0755B605	Molecular Electronics
033719F7	Code Coverage
0A35029A	Voice Over Ip
06CD8BE0	Wired Equivalent Privacy
0B554B28	Medical Microbiology
07E8184B	Climate Change
03AA2993	Data Parallelism
067AD590	Supply Chain
07AA9324	Authenticated Encryption
06D79A36	Geomorphology
0106971F	Granular Computing
04FC40F0	Chromatin
0995FB85	Linear Approximation
02167680	Domain Name System
00D1B63E	Minimum Spanning Tree
08C44360	Continuous-time Markov Chain
013DF2A4	Influence Diagram
025E61CC	Matrix Similarity
02B62B3A	Unified Model
0576F7F2	Multidimensional Scaling
07550420	Endothelial Stem Cell
02DD1A22	Scalability
0610D037	Communications System
02998C52	Chromatography
071EB5C3	Self-similarity
08EE5AE4	Speaker Diarisation
02D9B5B9	Complex Systems
03D8CFE8	Sorting Network
092866BE	Infrared Spectroscopy
00B0A94C	Square Root
02009D8A	Aryl Hydrocarbon Receptor
0133A61F	Case-based Reasoning
08C62759	Discrete Event Simulation
0C540666	Extended Kalman Filter
08A56DB3	Microrna
08C59DC2	Recurrent Neural Network
058A699D	Permutation Group
007084E5	Feature
067BB870	Lifelong Learning
03D76769	Network File System
06A08F10	Sensor Node
02CB7BDC	Nonlinear Regression
08494325	Viticulture
044B45E6	Flowchart
061A60E9	Sliding Window Protocol
027A86C9	Sequence Database
0839DF12	Mechanical Index
036D369F	Ellipsoid
06CB2518	Transformation
06CBD3F8	Atrium
0108BB35	Matrix Multiplication
09140509	Approximation Property
0962CC08	Maximum Flow Problem
00D48D5B	Random Function
0B93C032	Optical Fiber
074ACD19	Skewness
09A2762C	Routing
1E86A3A8	Windows Ce
0818015A	Lambda Calculus
01100D38	Electrical Impedance
0BA0E97F	Process Management
1F12E5D9	Analogy
00F3999E	Rate Function
039D53AF	Free-radical Theory of Aging
064F05D5	Visual Communication
0A5EDB4C	Binary Symmetric Channel
0923EDE7	Visual Arts
001C6BFA	Physical Therapy
00BF3943	Performance Management
01BAE11C	Covert Channel
050D9AB2	Formal Semantics
0A3761C3	Exit Chart
093FA134	Transient Receptor Potential Channel
0970AEE6	Network Packet
06E30128	Biomass
03ADB084	Symbolic Programming
0A9E52CE	Network Time Protocol
0C4178A6	Metric
0775103A	Randomness
02138890	Translation
01A83B7D	Uniform Resource Identifier
0090BCC5	Polynomial Ring
092C8D93	Data Reduction
050C3316	Knowledge Engineering
038F7208	Visual Analytics
02C3707B	Cmos
0612E2EC	Semidefinite Programming
06EA1D3E	New Institutional Economics
01EE869D	Quadrature Amplitude Modulation
032DCB7C	Metaverse
003EAE6E	Discrete Geometry
1E53AE69	Wi-fi
034576BF	Category Theory
0843FBAD	Tracing
07227FCC	Control Reconfiguration
00390FDD	Distributed Computing Environment
0074ABF2	Attribute-based Encryption
08651A3C	Defeasible Reasoning
02B187FB	Serology
09D8D618	Seismology
01B273AA	Real-time Operating System
025B28A7	Distributed Shared Memory
0C2517C0	Theory
0C14A557	Proof
02032DFA	Data Integrity
012172FD	Skeleton
09FE8F25	Reliability
062F9E66	Cumulative Distribution Function
03E46EF4	Symmetric-key Algorithm
06EFFA1A	Photoplethysmogram
05EF6388	New Media
01CB18B6	Floating Interest Rate
0BDA0738	Context-free Language
1E7343E3	Sql
032724C0	Biodiesel
07EAE719	System Safety
01E0D415	Waveguide
08F3C8A4	Gene Expression
001B5F56	Out-of-order Execution
0B4EB92A	Systematic Review
0A7052A8	Software As A Service
0A04BD3C	Granule
018CCA91	Conjugate Prior
007E3B49	Stochastic Process
0A520E1F	Gabor Transform
0801842D	Application Software
0833DE06	Docking
017B4777	Adaptive Routing
017BB92D	Distributed Data Store
06E883C0	Automation
21286E67	Information and Computer Science
0A9D6144	Border Gateway Protocol
06D662E0	Social Network Analysis
05BEFB9E	Space Time
0387C3FA	Carrier Sense Multiple Access With Collision Avoidance
08A8AF7F	Partial Redundancy Elimination
078CB47D	Random Search
08E001DD	Kinetics
07A22FAD	Environmental Law
0B788996	Vehicular Ad Hoc Network
05DF0427	Text Segmentation
1F12701D	Organogold Chemistry
070F348F	Hybrid Automatic Repeat Request
064FF158	Evolutionary Computation
0AF3E64D	Contract Net Protocol
0103F76A	Socially Distributed Cognition
0591039B	Process Variation
02F9FC32	Probabilistic Logic
086F01FB	Message Authentication Code
075EDF0C	Architecture
0BA51FD8	Threshold Voltage
0A1E4944	Eigendecomposition of A Matrix
022B4608	Digital Filter
059B90A1	Comet
01B1E4E6	Image Analysis
00E2ADDC	Affective Neuroscience
0861DE97	Stereophonic Sound
03A03AAC	Partitioned Global Address Space
06B4B1A2	Automaton
0A89E0E3	Signal Strength
067148D5	Atm Card
0362B382	Tuple Space
01F5F45C	Risk Management
0602F193	Clifford Algebra
0B58DDBC	Pareto Distribution
014F152B	Web Page
071E4035	Silicon Photonics
02005B3E	Calculus
07836DCA	Physically Based Animation
03887C04	Database Index
0C64DD3D	Major Histocompatibility Complex
081C8050	Overlay
0BFAF6AB	Aspect Ratio
0C55D6F7	Preemption
0772A089	Literature
0AC00690	Adjacency Matrix
03478D80	Image Quality
0420278B	Jpeg 2000
075BDBD1	Gas Chromatography
0997757E	Synthetic Data
0C055C95	Specification Language
0814962A	Approximation
04B7DC9B	Analytics
069C9607	Cable Gland
1DDADD38	Latent Dirichlet Allocation
03BA874C	Emergency Management
004BF79B	Cram¨¦r-rao Bound
08A30745	Total Order
0271BFD9	Sparql
093D58AF	Plant Breeding
076509C9	Time-frequency Representation
014F2149	Working Memory
0330B9E8	Resist
0C0A344E	Systems Engineering
0432A9B1	Grid Computing
073B64E4	Physics
00CE9D7E	Dynamic Network Analysis
086E5B3E	Scale Factor
09D6B088	Matching
069E30C6	Curse of Dimensionality
08FD496C	Minimum Bounding Rectangle
0C093D35	Online Analytical Processing
07BAA2AA	Introspection
03E6129D	Statistical Significance
00F36ADC	Project Management
04B49946	Concatenated Error Correction Code
0473688A	Language Acquisition
1F11C9B6	Pollution
045CA782	Schizophrenia
0671B7F0	Comparative Research
017DB786	Temporal Logic
037B9619	Constant Folding
074641D0	Ergodic Theory
07BA2A2B	Active Shape Model
20BC0271	Iron
09ADFAD2	Traffic Grooming
1F490370	Fiscal Policy
0B686EC0	Bias of An Estimator
0302D694	Heat Transfer
037ECF39	Taxonomy
03D2BE73	Phase-change Memory
015F9B9E	Differentiated Services
03817B4F	Bandwidth-delay Product
0B13A8DA	Constellation Diagram
0095A67C	Topography
01792889	Primary Production
000957FE	Impedance Matching
0779832E	Seasonality
03D48A2D	Electronic Design Automation
0694A9F3	Smart Card
0A1428BE	Personally Identifiable Information
06468957	Canonical Normal Form
028715BD	Physiology
00E7B349	Quantum Dynamics
05F812F8	Persuasive Technology
063A99BE	Ad Hoc On-demand Distance Vector Routing
1F9A2DF7	Integrated Circuit
0BD3251F	Finite Impulse Response
01675530	Very Large Database
0418DBF9	Role
06E52535	Gradient Method
034D987E	Job Shop Scheduling
084B31EA	Food Additive
0166E1C1	Montane Ecology
09BBB824	Basic Linear Algebra Subprograms
06318DBC	Video Quality
0ABD9D9D	Information System
063B0316	Feedback
0382499B	Cordic
06423687	Subject-matter Expert
069C2E55	Camera Resectioning
086C2BB1	Weighted Round Robin
024297C4	Read-modify-write
085463A4	Shadow Price
0A2079AC	Cognition
059BF615	Cost Accounting
07EEA35C	Community Structure
1F7B31BB	National Security
0B2E1F9B	Personal Knowledge Management
09C8D0C7	Satisfiability Modulo Theories
056996B1	Territoriality
0B3D685E	Renewable Energy
03315713	Species Richness
05AED063	Logical Form
0B4BAAAB	Density Estimation
20DEF635	Digital Video Broadcasting
1FD1338F	Dengue Fever
05D05EDF	Reinforcement Learning
0454B3E9	Shot Noise
05588093	Vector Space Model
082BCA90	Feret Database
088C7E05	Dna Damage
1E6596BC	Radiation Therapy
03A63778	Mixture Model
04CC01B1	Sequential Analysis
05E8BA92	Hash Function
0213D638	Register-transfer Level
08B2B0A9	Gossip Protocol
0733A058	Product Design
0344ED1C	Symmetric Matrix
0C383211	Forward Secrecy
05E9F00E	Basis Pursuit
064B808A	Spectral Clustering
0298DA6E	Near-infrared Spectroscopy
032AE99A	Silicon On Insulator
0209549D	Programming Paradigm
09AEB270	Power Iteration
0A833485	Linear Space
08FE8AD8	Transfer of Learning
061E8B76	Active Networking
0603F17D	Spatial Frequency
0711EC40	Discrete Mathematics
052301B0	Fiber-optic Communication
00457FEE	Knowledge Base
0B729F13	Quantum Turing Machine
010599EB	Bootstrapping
0AD76864	Service Level
0A52D7D4	Brain-computer Interface
06D4E0E6	Combinatorics
09700CE1	Homomorphic Encryption
087DCD4D	Viral Load
02DAA9C5	Mathematical Logic
09A30F3D	World Geodetic System
06F04483	External Data Representation
20F5F5CD	Dna
057F3C23	Probability of Error
0351C20A	Discrete Time and Continuous Time
00392B64	Rule of Inference
0C2EDD22	List Decoding
00B26E31	Pragmatics
084EC033	Surface Science
094B50E0	Normal-form Game
0434C7D9	Entropy
028436E2	Anesthesia
0C0BD257	Neurocomputational Speech Processing
01861F03	Software Analysis Pattern
09DE2FBE	Keynesian Economics
0A438068	Ubiquitous Computing
1EA11BEA	Digital Library
09C74C45	Late Binding
02F0AA8C	Nanoindentation
03561AE0	Exponential Family
086D475D	Iterative Reconstruction
0A07F124	Power Optimization
093862A2	Rewriting
08DD9005	Cellular Differentiation
0179C2BA	Data Quality
0B2120C9	Consciousness
0071083D	Paleobotany
02E89B27	Reputation
0719C0C9	Detection Limit
05719A2E	Np
0263542F	Closed-world Assumption
01D20B73	Commonsense Knowledge
09ED9969	Gain
06337AC8	Multilateration
07F35096	Dielectric
06D7DAA7	Flow Network
0B4335B3	Aperture
0119AE08	Event Calculus
08875898	Arsenic Biochemistry
0B7A44E7	Materials Science
0BE4E7C0	Lifting Scheme
00CB8059	Vector Space
082E467C	Covariance Function
0181A851	Long-term Potentiation
01E3CA0E	Amyloid Precursor Protein
0667127B	Human Multitasking
000B4A2A	Anomaly Detection
0176A59D	Data Assimilation
0070B753	Negative Selection
092315D3	Meteorology
051C9CBC	Transient Response
007AF625	Geophysics
046D08AE	Premovement Neuronal Activity
0B4EE5A2	Self-information
02935AF2	Museology
0BCC2418	Ranking
06950FE3	Range Query
02C245C8	Discrete Wavelet Transform
0977CDA3	Blood Flow
1E4BB532	Programming
01ED0391	Earliest Deadline First Scheduling
00D408D7	Speech Coding
0965AFE9	Wordnet
093A4A8E	Spinning
048C3502	Morphological Analysis
07DF98EA	Clutter
0509C2A8	Decision Tree
208BBFAA	Helium
0966F76C	Frequency Scaling
042B59A6	Writing
09A474AB	User-centered Design
02273498	Differential Cryptanalysis
05EA3CCA	Internet Topology
0329E046	Oblivious Transfer
02D958F8	Transmitter
0A9F3931	Manifold
075F63AE	Mesh Networking
04E581AF	Price of Anarchy
05824A88	Value of Information
097DE8AD	Factor Graph
0A0E321B	Java Annotation
0ABE1FB5	Code Mobility
081AF15E	Gene Delivery
068CFC56	Volcanology
02FB720D	Inductive Programming
06A445FF	Chemical Shift
020F5884	Steady State
04D2330C	Reproducing Kernel Hilbert Space
09CA884F	Code
00BDD126	Database Theory
042571D3	Microbial Ecology
00A06582	Data Security
06E4496D	Crystal Structure
0BAB60C5	Metrics
0A329F38	Adipose Tissue
0090990D	Data Model
06CABF12	Wimax
086F5175	Independent and Identically Distributed Random Variables
0BB63965	Man-in-the-middle Attack
09633906	Traceroute
08F1ECE3	Memristor
0ABCEA76	Software Development Process
07EFE437	Code Generation
0175395D	Telecommunications Engineering
09A40358	Verification and Validation
0B5709D7	Law and Economics
009503E5	Resource Management
0A1E3817	Recovery
1E871A42	Entertainment
0BE1E8F0	Restricted Boltzmann Machine
0507ADEE	Discourse Analysis
0C3CA7D2	Random Measure
0B355A55	Atomicity
01E8BB21	Randomized Rounding
0739A1F8	Sustainable Design
0A716E5E	One-dimensional Space
1E26F894	Fishery
08D5A91A	Outcome
0197ED35	Oscillation
0753FD9E	Extreme Programming
0B961FB4	Stochastic Optimization
0831A79B	Local Area Network
03431926	Non-blocking Algorithm
08CF10FB	Band-pass Filter
03E86A2C	Spreading Activation
0149209A	Collaborative Filtering
03BE2720	Access Network
04C7A475	Rotation
098C539A	Control Flow
087533BF	Hausdorff Distance
088A357C	Microblogging
1E332CA2	Standard Model
0B9F6432	Affordance
09C71226	Attribute Grammar
0360F446	Power Control
048E7212	Connectivity
0B37AD09	Limiting
06A6EEEF	Boundary Layer
08EB4114	Embedded System
0AAE1030	Containment
00E942A8	Computational Neuroscience
08B96820	Network Tomography
08D4FCE9	Transport Layer Security
069BD3D4	The Internet
06FD1CE4	Parametric Statistics
093E8748	Computational Linguistics
0A4B5C4C	Computer Worm
03915600	Sewage Sludge
021C05CC	Metaprogramming
08AE5B8A	Unified Modeling Language
1FD09D23	E-learning
0212E9C7	Active Queue Management
04056A2D	Natural Language Programming
08757C8A	Cache Coherence
06D83BEE	Thermal Management of Electronic Devices and Systems
05616912	Recognition Memory
059E9822	Safety Engineering
0513E1FC	Newton's Method
0AA27E72	Intuitionistic Logic
01F5E149	Spectroscopy
059EAB29	Random Oracle
01092AEF	Interpolation
0300270B	Representation
07EBE712	Sketch Recognition
00328155	Binary Decision Diagram
02EC4DB1	Optoelectronics
019A1BF2	Dynamic Host Configuration Protocol
08EBD128	Adaptive Optimization
017727AE	Mitochondrial Dna
0991FECF	Precoding
0917BF09	Planetary Science
0BEDC0FE	Worst-case Execution Time
06E88D7C	Software Engineering
0C0D8A14	Mean Field Theory
0310CD4A	Independent Component Analysis
08B4E4A7	Formal Language
068DB4A2	3d Reconstruction
0AA820DC	Organic Chemistry
0A481922	Somatosensory System
208E9730	Bluetooth
1E0E8FE6	Nickel
09744E13	Endoplasmic Reticulum
00E7327F	Metagenomics
03949786	Antenna Diversity
2092A185	Optical Character Recognition
051E7FE0	Spatial Multiplexing
07978D9D	Impulse Noise
00A074BC	Survival Analysis
01BEB48C	Conceptual Schema
089CEAF8	Genome Editing
07B7C627	Social Perception
0AA36835	Constraint Graph
0C5DB26C	Inverse
04EA9B4C	Erlang
0573E3C4	Distributed Memory
01F69872	Magnetic Anisotropy
0B1BE7C4	Phase-shift Keying
05C2D442	Formal Equivalence Checking
04D953D1	Cross-site Request Forgery
09909B97	Mutual Fund Separation Theorem
01BE4A47	Turing Machine
07510093	Np-complete
0304C748	Artificial Neural Network
0A97F691	Mesoscopic Physics
0BF4B175	Texture Mapping
07E308F7	Proton Exchange Membrane Fuel Cell
08E5B3D7	Rule-based System
013BE204	Group Decision-making
030EBE88	Network Synthesis Filters
0403E479	Information and Communications Technology
0704F51E	Generalization Error
065808E3	Education
02218C3B	Total Synthesis
06E6DC65	Fouling
070D600C	Point Distribution Model
07BD8715	Gray Code
0509C028	Cryptovirology
08179656	Genotype
067CE45C	Publish-subscribe Pattern
016375D4	Shear Zone
02781B85	Blind Equalization
08E90AD4	Sequential Pattern Mining
08D05F86	Network Address Translation
004E1EE9	Quality of Service
0415CAB0	Stereopsis
05CAB24E	Definite Clause Grammar
0A23FD55	Usability
044194B2	Physical Education
06625592	Consensus
07B3E60C	Disaster Recovery
085EF8C0	Cognitive Development
013DDFB2	Trilateration
00779361	Hypoxia
084A5838	Trusted Third Party
0033D07B	Tail
07777482	Level Set Method
0534EF39	Astrobiology
01247028	Anthropology
052EA07C	Minimisation
0AB645FF	Multilayer Perceptron
0C47D800	Telecommunications Equipment
065B778B	Ceramic Engineering
00E4DDF6	Speech Synthesis
00ADD5F2	Web Server
04E13888	Lexical Functional Grammar
02823364	Marching Cubes
08EEB759	Binary Erasure Channel
01FCD893	Stacking
0959F974	Bulk Synchronous Parallel
0876508D	Packaging and Labeling
006D5B78	System Testing
0A29897A	Cognitive Map
09519267	Enumeration
08AB10BD	Exception Handling
01C36FD4	Domain Theory
0AC19F9B	Membrane Fouling
0AFC28A7	Biometrics
06C15ECF	Complete Information
0C1DB9E2	Network Performance
0A3FC946	Automatic Repeat Request
0B2CD1A1	Quantum Channel
06A1AD6D	Non-uniform Rational B-spline
21419385	Data Transmission
085FF27E	Forensic Science
021E1333	Intrusion Detection System
006EA6CC	Structural Geology
067DC3EC	History of Africa
0C1CEC10	Concurrent Data Structure
076C8146	Differential Entropy
0A1FBB61	Overlay Network
06EDE235	Formal Specification
09B516C9	Fullerene
00067658	Electricity Generation
0444B3F2	Contextual Design
0B01ACE5	Fair Division
05DB8CBD	Pharmacology
06C401CF	Packet Switching
0534A212	Local Binary Patterns
09644AC6	Supersingular Elliptic Curve
0B0FEB68	Chemistry
06581617	Quality Assurance
0192EA50	Cosmology
06BCE0E2	Computer Network Programming
0995EA36	Lowest Common Ancestor
04E5643A	Dynamic Bayesian Network
0638FB61	Proteome
06AABA84	Handover
05ED8FE7	Environmental Health
02FABE8C	String Theory
0B1FCD67	Maxima and Minima
08181D6E	Top-down and Bottom-up Design
01BCA842	Tropical Cyclone
0BE64165	Engineering Drawing
000A3458	Vocational Education
01A638B5	Flash File System
02EECB42	Climatology
0726CB60	Information Economics
03A7C4ED	Gaussian Process
0653F883	Proxy
08F5D8FA	Ip Multicast
07AAA760	Low Voltage
0965C30C	Message
02061C9E	Sensor Fusion
016C9DDC	Electronic Nose
09F3924D	Archaeology
1EADA163	Organometallic Chemistry
00E6C2DB	Psychophysics
0A897FA5	Constraint Logic Programming
013AE1E9	User Datagram Protocol
07DD0394	Chase
0339863B	Superconductivity
07CBCF20	Reverse Osmosis
05C93E7B	Markov Chain Mixing Time
0ADE3B2D	Cable Modem
08B49EF3	Software Design Pattern
06A271C3	Cosmic Ray
1FE26BE6	Peer-to-peer
06CC9E62	Automated Planning and Scheduling
0ADAC5E9	Statistics Education
0492CA69	Structures
0293AD09	Microdata
060C1089	Non-local Means
087C4600	Art
0660586C	Medical Research
01CA728E	Blind Deconvolution
0608A6F7	Web Ontology Language
0936B297	Peak Signal-to-noise Ratio
0734B3D8	Exploratory Data Analysis
07D9DABF	Transponder
031482BF	Intelligent Network
0898E4CA	Mathematical Economics
0B32F1A3	Color Constancy
082ABF23	Quantum Algorithm
084941AD	Nonnegative Matrix
049B0C67	Software-defined Networking
05424A12	Graph Theory
051735CF	Semantic Network
0BA80FE2	Network Congestion
09E24C8B	Model-based Testing
1F8A8C04	Software Development
0826DA74	World Wide Web
0594C6B3	Certificate Authority
1DF78AE6	Pricing
09BBAB7B	Noise Reduction
0599B3AE	Model Selection
03F9BCAF	Life History Theory
0B2CC171	Natural User Interface
0638F86D	Probability
08F93E3E	Simd
037C357F	Receiver Operating Characteristic
02865FBC	Chemical Engineering
01490AD0	Authentication Protocol
04497984	Medicine
09EF3F02	Organization
0BE6C452	Hot Spot
076BC823	Image Segmentation
0B43783D	Universal Algebra
094D38F5	Galaxy Cluster
02760D3B	Photovoltaic System
0A414D84	Direction of Arrival
01804AFD	Distributed Transaction
04B551D8	Niche Differentiation
0B8A4888	Active Vision
0923C25D	Arithmetic Coding
03E73395	Video Processing
09290246	Core
0AAB07DF	Pattern Recognition
096A7997	Convex Optimization
0736C49B	Field Electron Emission
0A3C8B1F	Normed Vector Space
02C8E962	Deep Web
08DF0710	Government
018512AD	Neuroprotection
040DF020	Bayes Estimator
03E3BFC1	Electronic Business
09EB6ABF	Semantic Search
08585656	Dynamic Program Analysis
0633E965	Geometric Modeling
02D3C4BC	Wavelet
0101E738	Addressing Mode
03DEB55A	Histone
07B7536C	Field Research
000FDD8B	Quality of Life
0473132E	Classical Mechanics
0A7301C1	Pipeline Transport
039D5C06	Bioinformatics
061D98EF	Synchronization
03DDAEE4	Logic Simulation
0806A20D	Jitter
0AA68668	Dynamical System
010D0C00	Digital Media
05521D3E	Psycholinguistics
053E6A3C	Microstructure
027F03D7	Session Initiation Protocol
002A39F6	Business Intelligence
0A40E75A	Echo State Network
0C4C8CAB	Root of Unity
038BB89C	Requirements Analysis
053A1F64	Asynchronous Circuit
00EFAF77	Humanities
0019729E	Image Retrieval
04860E03	Quadratic Form
006B9A26	Generic Programming
0B9AD12E	Personal Information Management
0562110D	Semantic Data Model
097E06B5	Lexicographical Order
058A4FB3	Stream Cipher
09267DFF	Mechanism Design
04D6E5C4	Distributed Object
08D9C7D7	Static Single Assignment Form
09AD5CB7	Mass Spectrometry
08A1BC8A	Biclustering
0C4D2C34	User-defined Function
0050D63F	Autocorrelation
2074B43E	Computed Tomography
08079656	Multi-document Summarization
06A13070	Teamwork
022C6839	Visualization
06E96F52	Image
05A84AC5	Detector
0A7DBC5D	Least Squares
03DCCCF6	Occam's Razor
09BF1455	Interference
094562D8	Optical Flow
01E1238D	Robust Control
01261DBA	Multiplexing
044D363C	Monotonic Function
0831E68F	Dynamic Logic
1FD83166	Medical Diagnosis
0A817CBA	Real Image
0622EB66	Atomic Force Microscopy
03079FFF	Assembly Language
025A2829	Argument
07D15138	Social Influence
0B85D17C	Hamming Distance
0589BEE5	Pseudorandom Generator
0059F32E	Software Agent
0329D569	Object-oriented Design
06099CD9	User-generated Content
0010354C	Acoustical Oceanography
00C8B37F	Hybrid Monte Carlo
08F9E58C	Wearable Computer
092927A6	Payload
05DB1F9A	Direct Fluorescent Antibody
0A6F80EA	Remote Patient Monitoring
052234EC	Proportionally Fair
0798CEC0	Cost-benefit Analysis
0BCB073C	Binary Tree
091F4D8E	Set Theory
06E2F687	Cache
0B65264E	Thresholding
027DEB19	Systematics
0A4A90E0	Batch Processing
0418455E	Document Structure Description
06763ADD	Solar Wind
03F40203	Transformer
01A182D6	Gestalt Psychology
0A1EE1B7	Direct Anonymous Attestation
0A500C3A	Microcontroller
081B9F1B	Health
02B74EF0	Role-based Access Control
0C1A1702	Crystallization
035C9038	Intelligent Decision Support System
0C213AE1	Anisotropic Diffusion
09B9B04E	Failure Rate
0C44AAEE	Degree
07C47F14	Semantic Similarity
03D62B2D	Performance
08A1B1CA	Autobiographical Memory
08FC204B	Systolic Array
09057A11	Burrows-wheeler Transform
1F296047	Electroencephalography
05D7EA02	Quadratic Assignment Problem
01B47D7B	Iteration
008206EC	Connectionism
02C09648	Analytic Geometry
0182F83E	Linear Programming Relaxation
0B25AE23	Component Object Model
05479296	Episodic Memory
05DC080A	Search Theory
04E177A1	Cell Culture
04198571	Multi-objective Optimization
034B300B	Spline
